Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Uncut Gems,2016 acura rdx,1,acura rdx,acura rdx,21,"$25,789,956",A24,2020,0,2,2,21,1
The Gentlemen,2016 alfa romeo giulia quadrifoglio,1,alfa romeo giulia,alfa romeo giulia,16,"$36,471,397",STX Entertainment,2020,0,1,1,16,1
The Lodge,2006 audi a3,3,audi a3,audi a3,75,"$1,724,781",Neon,2020,1,1,2,75,3
Knives Out,2006 audi a4 b7,1,audi a4,audi a4,12,"$49,651,655",Lionsgate,2020,0,1,1,12,1
Like a Boss,2012 audi a7 c7,1,audi a7,audi a7,23,"$22,169,514",Paramount Pictures,2020,0,1,1,23,1
Parasite,2014 audi a8 d4,1,audi a8,audi a8,19,"$30,736,060",Neon,2020,0,1,1,19,1
Knives Out,2018 audi q5,1,audi q5,audi q5,12,"$49,651,655",Lionsgate,2020,0,4,4,12,1
Tenet,2010 audi q7,3,audi q7,audi q7,14,"$46,299,000",Warner Bros.,2020,1,1,2,14,3
Vanguard,2017 audi r8 spyder,3,audi r8,audi r8,99,"$793,525",Gravitas Ventures,2020,1,1,2,99,3
Vanguard,2017 bentley bentayga,3,bentley bentayga,bentley bentayga,99,"$793,525",Gravitas Ventures,2020,1,0,1,99,3
The Gentlemen,bentley continental gt,1,bentley continental gt,bentley continental gt,16,"$36,471,397",STX Entertainment,2020,0,1,1,16,1
The Invisible Man,2004 bmw 1 [e87],1,bmw 1,bmw 1-series,9,"$64,914,050",Universal Pictures,2020,0,2,2,9,1
The Gentlemen,1970 bmw 2800 cs [e9],1,bmw 2,bmw 2-series,16,"$36,471,397",STX Entertainment,2020,0,1,1,16,1
Knives Out,1972 bmw 3.0 csi [e9],3,bmw 3,bmw 3-series,12,"$49,651,655",Lionsgate,2020,1,11,12,12,3
The Tax Collector,2011 bmw 528i [f10],4,bmw 5,bmw 5-series,87,"$1,044,212",RLJE Films,2020,3,8,11,87,4
The Gentlemen,2019 bmw 740li [g12],1,bmw 7,bmw 7-series,16,"$36,471,397",STX Entertainment,2020,0,1,1,16,1
Richard Jewell,bmw 8 [e31],1,bmw 8,bmw 8-series,54,"$4,523,325",Warner Bros.,2020,0,1,1,54,1
Vanguard,2014 bmw i8 [i12],2,bmw i8,bmw i8,99,"$793,525",Gravitas Ventures,2020,0,1,1,99,2
Bombshell,2016 bmw x1 [f48],1,bmw x1,bmw x1,34,"$13,644,923",Lionsgate,2020,0,1,1,34,1
Unhinged,2015 bmw x3 [f25],1,bmw x3,bmw x3,25,"$20,831,465",Solstice Studios,2020,0,4,4,25,1
Tenet,2019 bmw x5 [g05],1,bmw x5,bmw x5,14,"$46,299,000",Warner Bros.,2020,0,1,1,14,1
Bad Boys for Life,2018 buick enclave,1,buick enclave,buick enclave,1,"$204,417,855",Sony Pictures Entertainment (SPE),2020,0,1,1,1,1
Unhinged,2010 buick lacrosse,1,buick lacrosse,buick lacrosse,25,"$20,831,465",Solstice Studios,2020,0,1,1,25,1
Birds of Prey,1983 buick regal,1,buick regal,buick regal,6,"$84,158,461",Warner Bros.,2020,0,3,3,6,1
Bombshell,2015 cadillac escalade esv,3,cadillac escalade,cadillac escalade,34,"$13,644,923",Lionsgate,2020,1,11,12,34,3
Like a Boss,2013 cadillac xts stretched limousine,2,cadillac xts,cadillac xts,23,"$22,169,514",Paramount Pictures,2020,0,2,2,23,2
Vanguard,2007 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,99,"$793,525",Gravitas Ventures,2020,0,1,1,99,1
Honest Thief,2010 chevrolet camaro,3,chevrolet camaro,chevrolet camaro,32,"$14,163,574",Open Road Films (II),2020,1,5,6,32,3
Knives Out,2006 chevrolet cobalt,1,chevrolet cobalt,chevrolet cobalt,12,"$49,651,655",Lionsgate,2020,0,1,1,12,1
Unhinged,2004 chevrolet colorado,1,chevrolet colorado,chevrolet colorado,25,"$20,831,465",Solstice Studios,2020,0,1,1,25,1
Ford v Ferrari,1963 chevrolet corvette sting ray c2,2,chevrolet corvette,chevrolet corvette,39,"$10,427,913",Twentieth Century Fox,2020,0,8,8,39,2
Bad Boys for Life,2011 chevrolet cruze,1,chevrolet cruze,chevrolet cruze,1,"$204,417,855",Sony Pictures Entertainment (SPE),2020,0,3,3,1,1
Bill & Ted Face the Music,2010 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,60,"$3,498,714",United Artists Releasing,2020,0,1,1,60,1
The Tax Collector,2011 chevrolet express,2,chevrolet express,chevrolet express,87,"$1,044,212",RLJE Films,2020,0,2,2,87,2
The Tax Collector,1969 chevrolet impala,3,chevrolet impala,chevrolet impala,87,"$1,044,212",RLJE Films,2020,1,19,20,87,3
Bill & Ted Face the Music,2016 chevrolet malibu,3,chevrolet malibu,chevrolet malibu,60,"$3,498,714",United Artists Releasing,2020,1,5,6,60,3
Honest Thief,1999 chevrolet silverado,2,chevrolet silverado,chevrolet silverado,32,"$14,163,574",Open Road Films (II),2020,0,4,4,32,2
The Tax Collector,2018 chevrolet suburban,4,chevrolet suburban,chevrolet suburban,87,"$1,044,212",RLJE Films,2020,1,9,10,87,4
Richard Jewell,1995 chevrolet tahoe,3,chevrolet tahoe,chevrolet tahoe,54,"$4,523,325",Warner Bros.,2020,1,6,7,54,3
The Tax Collector,2016 chevrolet volt,1,chevrolet volt,chevrolet volt,87,"$1,044,212",RLJE Films,2020,0,2,2,87,1
Sonic the Hedgehog,2011 chrysler 200 convertible,1,chrysler 200,chrysler 200,3,"$146,066,470",Paramount Pictures,2020,0,1,1,3,1
The War with Grandpa,chrysler 300,3,chrysler 300,chrysler 300,27,"$18,702,194",101 Studios,2020,1,5,6,27,3
Bad Boys for Life,2017 chrysler pacifica,1,chrysler pacifica,chrysler pacifica,1,"$204,417,855",Sony Pictures Entertainment (SPE),2020,0,1,1,1,1
Sonic the Hedgehog,2002 chrysler sebring,1,chrysler sebring,chrysler sebring,3,"$146,066,470",Paramount Pictures,2020,0,1,1,3,1
Bombshell,2005 chrysler town & country,1,chrysler town & country,chrysler town & country,34,"$13,644,923",Lionsgate,2020,0,1,1,34,1
Bad Boys for Life,2015 dodge challenger,2,dodge challenger,dodge challenger,1,"$204,417,855",Sony Pictures Entertainment (SPE),2020,0,2,2,1,2
