Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Olympus Has Fallen,2004 acura mdx,1,acura mdx,acura mdx,33,"$98,925,640",FilmDistrict,2013,0,3,3,33,1
The Secret Life of Walter Mitty,1999 acura tl,1,acura tl,acura tl,93,"$31,484,331",Twentieth Century Fox,2013,0,2,2,93,1
Jack Reacher,2004 acura tsx,1,acura tsx,acura tsx,89,"$32,520,094",Paramount Pictures,2013,0,1,1,89,1
A Good Day to Die Hard,1996 audi a3,1,audi a3,audi a3,54,"$67,349,198",Twentieth Century Fox,2013,0,2,2,54,1
2 Guns,2005 audi a4 b7,1,audi a4,audi a4,45,"$75,612,460",Universal Pictures,2013,0,3,3,45,1
World War Z,1998 audi a4 avant b5,1,audi a4 avant,audi a4 avant,12,"$202,359,711",Paramount Pictures,2013,0,2,2,12,1
The Best Man Holiday,2008 audi a5 b8,3,audi a5,audi a5,51,"$70,313,550",Universal Pictures,2013,1,0,1,51,3
Jack Reacher,2005 audi a6 c6,3,audi a6,audi a6,89,"$32,520,094",Paramount Pictures,2013,1,2,3,89,3
Iron Man 3,2012 audi a8 l d4,3,audi a8,audi a8,1,"$409,013,994",Walt Disney Studios Motion Pictures,2013,1,5,6,1,3
Pacific Rim,2006 audi q7,1,audi q7,audi q7,30,"$101,802,906",Warner Bros.,2013,0,3,3,30,1
The Wolverine,2010 audi r8 spyder,3,audi r8,audi r8,21,"$132,556,852",Twentieth Century Fox,2013,1,2,3,21,3
Percy Jackson: Sea of Monsters,2008 audi tt,1,audi tt,audi tt,52,"$68,481,744",Twentieth Century Fox,2013,0,3,3,52,1
A Good Day to Die Hard,2003 bentley continental gt,1,bentley continental gt,bentley continental gt,54,"$67,349,198",Twentieth Century Fox,2013,0,1,1,54,1
A Good Day to Die Hard,2007 bmw 1 [e87],1,bmw 1,bmw 1-series,54,"$67,349,198",Twentieth Century Fox,2013,0,2,2,54,1
Rush,1966 bmw 2000,2,bmw 2,bmw 2-series,100,"$26,947,624",Universal Pictures,2013,0,2,2,100,2
Now You See Me,2012 bmw 335i [f30],3,bmw 3,bmw 3-series,23,"$117,723,989",Lionsgate,2013,1,15,16,23,3
Fast & Furious 6,2010 bmw 5 [e60],3,bmw 5,bmw 5-series,8,"$238,679,850",Universal Pictures,2013,3,11,14,8,3
Olympus Has Fallen,1988 bmw 635 csi [e24],1,bmw 6,bmw 6-series,33,"$98,925,640",FilmDistrict,2013,0,2,2,33,1
Pain & Gain,1993 bmw 750il [e32],3,bmw 7,bmw 7-series,69,"$49,875,291",Paramount Pictures,2013,1,5,6,69,3
Side Effects,2004 bmw x3 [e83],3,bmw x3,bmw x3,91,"$32,172,757",Open Road Films (II),2013,1,1,2,91,3
Fast & Furious 6,2004 bmw x5 [e53],1,bmw x5,bmw x5,8,"$238,679,850",Universal Pictures,2013,0,8,8,8,1
R.I.P.D.,bmw x6 [e71],1,bmw x6,bmw x6,87,"$33,618,855",Universal Pictures,2013,0,2,2,87,1
Warm Bodies,2010 bmw z4 [e89],4,bmw z4,bmw z4,55,"$66,380,662",Lionsgate,2013,1,0,1,55,4
Parental Guidance,2010 buick lacrosse,2,buick lacrosse,buick lacrosse,77,"$43,273,946",Twentieth Century Fox,2013,0,1,1,77,2
Mama,2003 cadillac cts,2,cadillac cts,cadillac cts,48,"$71,628,180",Universal Pictures,2013,0,3,3,48,2
Olympus Has Fallen,2006 cadillac dts stretched limousine,2,cadillac dts,cadillac dts,33,"$98,925,640",FilmDistrict,2013,0,4,4,33,2
The Heat,2003 cadillac escalade,2,cadillac escalade,cadillac escalade,15,"$159,582,188",Twentieth Century Fox,2013,0,9,9,15,2
Prisoners,2010 cadillac srx,1,cadillac srx,cadillac srx,60,"$61,002,302",Warner Bros.,2013,0,2,2,60,1
Last Vegas,2006 cadillac sts,3,cadillac sts,cadillac sts,58,"$62,791,595",CBS Films,2013,1,0,1,58,3
