Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura mdx,47210,0.514208737,Positive,acura mdx,The Other Guys,2007 acura mdx,1,acura mdx,18,"$119,219,978 ",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1
acura rdx,14975,0.474933517,Positive,0,,,,,,,,2010,,,,,
acura rl,2037,-0.002936858,Negative,0,,,,,,,,2010,,,,,
acura tl,34049,0.012760262,Positive,acura tl,The Other Guys,1999 acura tl,1,acura tl,18,"$119,219,978 ",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1
acura tsx,32076,0.119581152,Positive,acura tsx,Jackass 3D,2009 acura tsx,1,acura tsx,21,"$117,052,883 ",Paramount Pictures,2010,0,1,1,21,1
acura zdx,3259,40.25316456,Positive,acura zdx,Iron Man 2,2010 acura zdx,2,acura zdx,4,"$312,433,331 ",Paramount Pictures,2010,0,1,1,4,2
audi a3,6558,0.692823955,Positive,audi a3,Letters to Juliet,2009 audi a3 cabriolet,2,audi a3,63,"$53,032,453 ",Summit Entertainment,2010,0,2,2,63,2
audi a4,34672,-0.064688427,Negative,audi a4,Daybreakers,2005 audi a4 b7,2,audi a4,100,"$30,101,577 ",Lionsgate,2010,0,3,3,100,2
audi a5,16379,0.671326531,Positive,audi a5,The American,2009 audi a5 sportback b8,2,audi a5,89,"$35,606,376 ",Focus Features,2010,0,2,2,89,2
audi a6,8675,0.278367227,Positive,audi a6,The Karate Kid,2005 faw-audi a6 l c6,2,audi a6,11,"$176,591,618 ",Sony Pictures Entertainment (SPE),2010,0,2,2,11,2
audi a8,1521,0.039644566,Positive,audi a8,Iron Man 2,2008 audi a8 l d3,3,audi a8,4,"$312,433,331 ",Paramount Pictures,2010,1,1,2,4,3
audi q5,23518,0.705438724,Positive,0,,,,,,,,2010,,,,,
audi q7,7976,0.092752432,Positive,0,,,,,,,,2010,,,,,
audi r8,799,0.143061516,Positive,audi r8,Date Night,2008 audi r8,4,audi r8,28,"$98,711,404 ",Twentieth Century Fox,2010,2,0,2,28,4
audi tt,1531,-0.20878553,Negative,audi tt,Salt,2000 audi tt,1,audi tt,19,"$118,311,368 ",Sony Pictures Entertainment (SPE),2010,0,2,2,19,1
bmw 1-series,13132,0.174387408,Positive,bmw 1-series,Cop Out,2008 bmw 1 cabriolet [e88],1,bmw 1,73,"$44,875,481 ",Warner Bros.,2010,0,1,1,73,1
bmw 3-series,100910,0.109388742,Positive,bmw 3-series,Iron Man 2,bmw 3 [e90],1,bmw 3,4,"$312,433,331 ",Paramount Pictures,2010,0,20,20,4,1
bmw 5-series,39488,-0.015482809,Negative,bmw 5-series,Eat Pray Love,2001 bmw 525i [e39],2,bmw 5,38,"$80,574,010 ",Sony Pictures Entertainment (SPE),2010,0,18,18,38,2
bmw 6-series,2418,-0.318681319,Negative,0,,,,,,,,2010,,,,,
bmw 7-series,12253,0.324076075,Positive,bmw 7-series,The Blind Side,2006 bmw 750li [e66],4,bmw 7,57,"$59,396,157 ",Warner Bros.,2010,1,9,10,57,4
bmw x3,6075,0.001318609,Positive,bmw x3,Salt,2007 bmw x3 [e83],1,bmw x3,19,"$118,311,368 ",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
