Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BMW X3,3135,4706,6727,4321,6186,7052,5690,6360,5943,5952,5948,8090
BMW X4,406,453,577,638,679,864,752,517,948,695,896,1333
BMW X5,3092,4360,4460,3781,4204,4473,3804,4522,4339,4444,5359,7757
BMW X6,595,859,646,424,351,170,113,72,45,26,382,557
BMW X7,0,0,2186,2291,2123,2214,1465,1741,1734,2047,2614,3159
BMW Z4,0,0,201,271,424,417,288,285,247,310,265,233
Buick Cascada,245,236,265,426,492,394,132,147,121,26,26,25
Buick Enclave,4138,3973,4469,4927,5685,4548,4366,4890,4017,3340,3464,3339
Buick Encore,8094,7770,8742,7895,9109,7287,8226,9213,7568,9384,9730,9383
Buick Envision,2508,2407,2708,2970,3427,2741,2661,2980,2448,2760,2861,2759
Buick LaCrosse,955,916,1031,808,933,746,457,512,420,152,158,153
Buick Regal,1121,1076,1211,970,1119,896,808,905,743,499,516,499
Cadillac ATS,172,165,185,121,139,111,52,58,48,28,28,27
Cadillac CT5,0,0,0,0,0,0,0,0,0,0,0,43
Cadillac CT6,720,691,777,605,698,559,535,599,492,749,778,749
Cadillac CTS,799,767,863,794,916,733,371,416,341,318,330,318
Cadillac Escalade,2243,2153,2423,3065,3537,2830,3383,3789,3112,2926,3036,2927
Cadillac XT4,2311,2219,2496,2301,2655,2124,2956,3311,2719,2928,3039,2928
Cadillac XT5,4368,4193,4717,4263,4919,3935,4051,4537,3727,3677,3814,3677
Cadillac XT6,0,0,0,0,0,74,1420,1590,1306,2361,2448,2361
Cadillac XTS,1228,1179,1327,1742,2010,1608,378,423,348,350,363,350
Chevrolet Blazer,994,955,1074,3826,4415,3532,6682,7483,6147,7576,7856,7576
Chevrolet Bolt,1420,1363,1533,1289,1487,1190,1589,1779,1462,1089,1129,1089
Chevrolet Camaro,3975,3816,4293,4041,4662,3730,4038,4522,3715,3779,3917,3778
Chevrolet Colorado,11018,10577,11899,10292,11876,9501,10413,11663,9580,8391,8102,8391
Chevrolet Corvette,1297,1245,1401,1881,2171,1736,1568,1756,1442,1149,1193,1149
Chevrolet Cruze,7668,7361,8282,5254,6062,4850,1908,2136,1755,889,921,889
Chevrolet Equinox,29112,27947,31441,27839,32121,25697,26250,29400,24150,30323,31446,30323
Chevrolet Express,5663,5436,6116,6997,8073,6458,7257,8128,6677,5483,5686,5483
Chevrolet Impala,4362,4187,4710,4074,4701,3761,3170,3551,2917,3143,3259,3143
Chevrolet Malibu,11249,10799,12149,10067,0,9292,10668,11949,9815,11298,11717,11299
Chevrolet Silverado,37603,36099,40611,46300,53424,42739,51145,57283,47054,53782,55744,53785
Chevrolet Sonic,1467,1408,1584,1308,1509,1207,707,791,650,1099,1140,1100
Chevrolet Spark,2113,2028,2282,2348,2710,2168,2176,2437,2002,3627,3762,3627
Chevrolet Suburban,3628,3483,3918,5936,6850,5480,4076,4565,3750,3372,3497,3373
Chevrolet Tahoe,6860,6585,7408,10706,12353,9883,8654,9692,7962,6943,7201,6942
Chevrolet Traverse,11258,10807,12158,12399,14307,11446,13525,15148,12443,11073,11483,11075
Chevrolet Trax,8086,7762,8732,7082,8171,6537,12305,13782,11321,10879,11282,10878
Chevrolet Volt,829,796,895,372,430,344,288,322,265,122,126,122
Chrysler 200,12,6,8,3,6,0,3,4,3,1,1,1
Chrysler 300,2078,2508,3704,1998,2665,2904,2578,2887,2371,1818,1885,1818
Chrysler Pacifica,6963,7854,8457,6984,8232,10037,7137,7994,6566,9049,9384,9049
Chrysler Town and Country,1,0,0,2,0,0,1,0,0,0,0,0
Dodge Avenger,0,0,0,0,1,0,0,0,0,0,0,0
Dodge Challenger,3230,3639,6562,4422,5748,5067,5931,6643,5457,4708,4882,4708
Dodge Charger,5210,6547,8858,6101,9296,9034,8572,9601,7887,8505,8820,8505
Dodge Dart,3,3,2,2,0,0,3,0,0,1,1,1
Dodge Durango,4288,6105,6626,6171,8263,5538,5142,5759,4730,4931,5114,4931
Dodge Grand Caravan,7113,12521,15806,7483,16809,12215,9032,10115,8309,7654,7937,7654
Dodge Journey,7232,8258,8513,7082,7642,6704,5581,6250,5134,4047,4197,4047
Dodge Viper,1,0,0,1,0,3,0,0,0,0,0,0
Fiat 124 Spider,160,139,214,329,349,337,226,253,208,142,147,142
Fiat 500,261,207,310,273,335,306,288,323,265,230,239,230
Fiat 500L,56,51,61,72,69,90,68,76,62,55,57,55
Fiat 500X,274,219,262,257,272,200,195,218,179,146,151,146
Ford C-Max,17,5,6,7,8,6,0,0,0,0,0,0
Ford E-Series,3550,3408,3834,3757,4335,3468,3248,3638,2988,4227,4383,4227
Ford EcoSport,128,4067,4575,6990,8065,6452,5352,5995,4924,4627,4797,4627
Ford Edge,10171,9764,10985,10827,12493,9994,12059,13506,11094,12388,12846,12387
Ford Escape,19968,19169,21565,23529,27149,21719,19967,22364,18370,15669,16249,15669
Ford Expedition,7162,6876,7735,7084,8174,6539,6114,6847,5625,7991,8286,7990
Ford Explorer,20369,19554,21999,12968,14963,11970,11169,12509,10276,16887,17511,16886
Ford F-Series,70596,67772,76243,75981,87670,70136,70453,78907,64816,77033,79886,77033
Ford Fiesta,5244,5035,5664,7206,8315,6652,4841,5422,4454,2409,2497,2409
Ford Flex,1828,1755,1974,2342,2702,2162,1834,2054,1687,2025,2098,2024
Ford Focus,3404,3268,3677,693,799,639,0,0,0,0,0,0
Ford Fusion,13712,13163,14808,17767,20501,16400,12354,13837,11366,10582,10973,10582
Ford GT,28,27,30,17,19,15,171,192,157,14,14,14
Ford Mustang,5565,5342,6010,7028,8109,6488,5534,6198,5091,5639,5847,5638
Ford Ranger,3099,2975,3347,6786,7830,264,8622,9657,7932,10886,11287,10886
Ford Taurus,2510,2409,2711,1268,1463,1171,340,381,313,283,292,282
Ford Transit,10474,10055,11312,13411,15474,12380,14433,16165,13278,12146,12594,12145
Ford Transit Connect,2941,2823,3176,3547,4092,3274,3795,4250,3491,3362,3485,3361
Genesis G70,596,819,817,844,1447,1193,905,1015,871,1021,1153,1222
Genesis G80,473,533,475,632,708,532,520,544,446,625,820,787
Genesis G90,155,176,159,129,158,162,161,198,242,289,194,216
GMC Acadia,10263,9853,11084,9237,10658,8526,6690,7493,6155,6412,6648,6411
GMC Canyon,2288,2196,2471,3870,4466,3573,2446,2740,2251,2149,2228,2148
GMC Savana,2160,2073,2333,3088,3564,2851,1652,1850,1520,1033,1070,1033
GMC Sierra,13338,12804,14405,18478,21322,17057,21776,24389,20034,22629,23465,22628
GMC Terrain,8343,8010,9011,8121,9371,7496,7585,8495,6978,9240,9581,9239
GMC Yukon,4917,4720,5310,6507,7509,6007,6163,6903,5670,6904,7159,6903
Honda Accord,18786,20254,25371,19239,23892,21893,24144,30558,20326,21689,21733,19682
Honda Civic,21553,22979,33653,28436,32800,29751,29167,34808,22337,23577,23676,22913
Honda Clarity FCV,1271,1281,1416,1079,906,1092,852,914,548,635,855,805
Honda CR-V,29152,26304,31824,28344,30893,30427,33656,44235,25904,33344,33987,36098
Honda CR-Z,0,1,0,1,0,0,0,0,0,0,0,0
Honda Fit,1405,1745,3238,3247,3918,3603,3378,4027,2707,2800,2737,2609
Honda HR-V,5974,7093,8582,7272,8565,7693,7877,9730,7528,10130,9461,9199
Honda Insight,1762,1587,2151,2028,2653,2367,2218,2477,1541,1614,1579,1709
Honda Odyssey,5828,6658,8811,7482,9519,9202,9111,10190,7457,7872,8249,8734
Honda Passport,126,1848,2840,2907,3434,3585,3511,4182,2890,3649,3636,3677
Honda Pilot,8556,10990,13411,11399,12517,11579,11874,14381,9262,9529,10260,11250
Honda Ridgeline,1962,2186,2804,2654,2888,2761,2749,3302,2327,2647,3297,3757
Hyundai Accent,1825,1790,3166,2834,2659,2632,1830,1577,1702,1706,1596,2311
Hyundai Elantra,9942,10304,15866,16586,15733,16540,11579,14305,14614,13583,17322,18720
Hyundai Ioniq,955,1032,1323,1211,1471,1607,2891,2152,1504,2769,1495,1164
Hyundai Kona,5696,5686,7015,5154,7197,6341,6377,6385,5287,5514,5996,6678
Hyundai Nexo,35,5,20,19,19,21,21,34,23,17,38,15
Hyundai Palisade,0,0,0,0,0,383,4464,5115,3495,4357,5268,5654
Hyundai Santa Fe,7832,9922,10929,10746,13807,14335,9644,10828,8276,10964,9740,10350
Hyundai Sonata,6212,6481,8827,8634,8599,8379,6976,8231,6029,6062,5931,7105
Hyundai Tuscon,7444,9411,11976,8682,15616,12825,12629,13985,10293,11288,12008,11224
Hyundai Veloster,855,981,2055,1554,1020,1139,929,1125,728,834,917,712
Hyundai Venue,0,0,0,0,0,0,0,0,0,0,290,787
Infiniti Q50,2249,2230,3785,2174,1857,2042,1895,1888,1635,2100,1967,2165
Infiniti Q60,406,327,571,425,314,359,396,384,336,595,500,430
Infiniti Q70,235,269,458,345,203,183,172,182,149,154,112,90
Infiniti QX30,455,574,548,232,350,290,274,208,94,102,52,50
Infiniti QX50,822,1122,1639,1513,1829,1799,1701,1833,1352,1468,1723,1815
Infiniti QX60,4188,4117,4525,2773,4100,3133,2859,3495,2431,3604,3824,4113
Infiniti QX70,4,0,2,0,0,0,0,0,0,0,0,0
Infiniti QX80,1943,1968,1878,1029,1760,2033,1363,1195,1034,1123,1207,2580
Jaguar E-Pace,447,490,563,314,378,357,295,256,319,297,442,624
Jaguar F-Pace,1465,1345,1730,1038,903,828,862,1169,1021,1325,1787,2018
Jaguar F-Type,282,280,176,177,171,169,238,158,152,133,187,156
Jaguar I-Pace,210,186,212,237,228,236,213,160,160,306,270,176
Jaguar XE,406,777,658,217,186,164,178,239,218,180,132,196
Jaguar XF,96,278,212,71,50,64,118,72,73,44,63,95
Jaguar XJ,172,109,128,93,105,74,116,74,59,65,77,0
Jeep Cherokee,15138,16020,18262,14681,17283,15826,17151,19209,15779,13845,14358,13845
Jeep Compass,10298,12063,14945,12697,14534,10976,11565,12953,10640,10952,11358,10952
Jeep Gladiator,0,70,43,314,2584,4231,5307,5943,4882,5487,5690,5487
Jeep Grand Cherokee,15075,18009,24665,20469,25394,19660,20318,22757,18693,19074,19781,19074
Jeep Patriot,6,3,1,2,0,1,3,3,2,2,2,2
Jeep Renegade,4860,5909,7449,5740,6001,6077,6985,7823,6426,6459,6698,6459
Jeep Wrangler,13024,15001,21963,22422,24530,20055,19419,21750,17866,17126,17760,17126
Kia Cadenza,151,113,147,117,105,130,75,126,92,153,184,184
Kia Forte,5955,6953,8466,7336,10366,9337,9172,9420,6280,6980,7709,7709
Kia K900,26,36,40,43,29,35,31,39,32,17,32,32
Kia Niro,1706,2031,1609,1839,2557,2200,1935,2352,1733,1983,2238,2238
Kia Optima,5853,7212,9603,8411,8300,11090,8732,9259,7206,7248,6568,6568
Kia Rio,1608,1822,2414,2082,2482,2038,2266,2752,1722,1939,1692,1692
Kia Sedona,1348,1144,1367,1067,1460,1392,1356,1532,910,1341,1463,1463
Kia Sorento,6726,7386,9507,7473,8356,7570,8256,9160,7766,8533,7899,7899
Kia Soul,7101,8592,9860,10431,10713,8886,7358,8701,5985,6761,6713,6713
Kia Sportage,5963,6768,6467,6077,8011,6789,8573,9593,6863,7623,8125,8125
Kia Stinger,939,1034,1254,939,1410,1345,1092,1422,981,1354,1057,1057
Kia Telluride,0,315,5080,5570,6273,5989,4559,6374,5049,6075,6824,6824
Land Rover Discovery / LR4,819,1039,1185,572,589,548,597,560,509,451,1081,1234
Land Rover Discovery Sport,912,1283,1332,919,1013,908,789,541,841,1058,1238,1503
Land Rover Range Rover,1651,1539,1798,1577,1448,1209,1307,1435,1539,1553,1767,2008
Land Rover Range Rover Evoque,646,708,698,867,1010,999,876,1014,1069,907,1363,1372
Land Rover Range Rover Sport,2004,2148,2317,1986,1922,1755,1748,1716,2288,2584,2474,2826
Land Rover Range Rover Velar,1353,1434,2162,1244,1355,1174,1139,1306,1242,1540,1591,1547
Lexus ES,3144,3324,4922,3499,4741,4350,4960,5636,3320,3870,4545,5025
Lexus GS,298,263,394,301,260,214,305,342,193,222,321,265
Lexus GX,1508,1630,2291,1786,1809,1947,2094,2604,1707,2161,3188,3220
Lexus IS,1075,1115,1694,1385,1533,1560,1331,1363,844,843,1006,1171
Lexus LC,90,89,141,122,137,89,96,84,80,91,86,114
Lexus LFA,3,0,0,0,0,0,0,0,0,0,0,0
Lexus LS,508,439,457,474,462,357,396,509,346,468,529,583
Lexus LX,251,411,552,404,369,322,333,444,247,391,432,562
Lexus NX,3982,4160,5633,4241,4612,4248,4423,5138,3637,4266,6420,7955
Lexus RC,262,279,422,353,412,381,437,482,334,351,450,428
Lexus RX,5508,7054,10967,7522,8782,8228,9247,11700,7162,9271,11526,14069
Lexus UX,791,1358,1776,1273,1420,1351,1403,1629,990,1209,1590,1933
Lincoln Aviator,0,0,0,0,0,0,625,700,575,2115,2193,2116
Lincoln Continental,446,428,481,484,559,447,624,699,574,608,630,607
Lincoln MKC,1904,1827,2056,1936,2234,1787,2146,2403,1974,2486,2577,2486
Lincoln MKT,409,392,441,405,467,374,206,230,189,91,93,91
Lincoln MKX/Nautilus,2477,2474,2783,2661,3070,2456,2619,2933,2410,2545,2638,2544
Lincoln MKZ,1410,1354,1523,1519,1753,1402,1541,1726,1418,1344,1393,1343
Lincoln Navigator,1470,1411,1588,1426,1645,1316,1429,1601,1315,1796,1862,1797
Mazda 3,4596,4610,6009,4351,4967,3990,3651,4825,3507,3481,3579,3175
Mazda 6,1619,1906,3396,2340,2133,1681,1483,1608,1119,1095,1514,1630
Mazda CX-3,971,1081,1201,1019,1188,1324,1523,2024,1449,1386,1654,1409
Mazda CX-30,0,0,0,0,0,0,0,0,0,0,31,868
Mazda CX-5,10652,13377,13465,9592,14057,13242,13391,15592,10332,10970,14139,15734
Mazda CX-9,1860,2422,2136,1618,2004,1832,2135,2617,1919,2094,2988,3236
Mazda MX-5 Miata,347,456,727,782,843,759,1109,816,512,494,469,439
Mercedes-Benz A-Class,0,0,890,804,804,2015,2619,2308,2303,1491,1544,1166
Mercedes-Benz AMG GT,83,134,427,340,340,374,325,338,347,361,534,445
Mercedes-Benz B-Class,1,2,0,1,1,2,1,1,0,1,0,0
Mercedes-Benz C-Class,4676,4812,5514,4054,4054,3951,3449,3315,4073,3096,4469,3412
Mercedes-Benz CLA-Class,2278,1566,1366,986,986,573,609,118,623,1122,1641,1344
Mercedes-Benz E / CLS-Class,3258,3424,3712,3372,3372,3346,2750,2892,3523,3177,3689,3343
Mercedes-Benz G-Class,427,1165,701,546,546,487,501,373,374,156,0,816
Mercedes-Benz GL/GLS-Class,2007,1587,2423,1678,1678,904,870,1142,1798,2733,2893,2902
Mercedes-Benz GLA-Class,1603,1247,1871,1770,1770,1715,1450,1405,1678,2448,2461,2096
Mercedes-Benz GLB,0,0,0,0,0,0,0,0,0,0,0,1173
Mercedes-Benz GLC/GLK-Class,4908,4176,6282,5378,5378,6568,5539,6336,6840,7083,7515,6436
Mercedes-Benz GLE-Class,2142,2197,2196,2566,2566,4843,5301,5370,4862,4782,6052,5787
Mercedes-Benz Metris,267,601,1111,671,810,1000,864,1612,1370,1279,886,1247
Mercedes-Benz S-Class,886,1061,1204,958,958,1063,919,926,778,1211,1452,1087
Mercedes-Benz SL-Class,116,136,184,193,193,207,119,127,159,117,100,140
Mercedes-Benz SLC-Class,122,153,234,303,303,148,160,120,75,89,62,147
Mercedes-Benz Sprinter,947,2128,2442,2011,1872,2005,2014,3761,3199,2984,2656,3738
Mini Cooper,1586,1681,2442,1741,1682,2066,1842,1967,1807,1786,1909,1614
Mini Countryman,871,998,1327,880,1140,1169,985,1944,1698,1176,1158,696
Mitsubishi Eclipse Cross,1563,4291,3143,920,1012,1662,811,973,1484,1046,1336,1420
Mitsubishi Lancer,0,0,3,0,0,0,0,0,0,0,0,0
Mitsubishi Mirage,1570,1792,2880,2004,2150,2505,3256,2824,2196,2135,1901,1753
Mitsubishi Montero Sport,0,0,0,0,0,0,0,2404,2301,0,2795,0
Mitsubishi Outlander,2346,3471,7923,2408,3840,5601,1656,1661,1565,1733,1784,3977
Mitsubishi Outlander PHEV,133,157,341,163,232,222,213,277,176,255,372,269
Mitsubishi Outlander Sport,3099,4049,5309,1468,2516,2327,2677,0,0,2203,0,2496
Nissan 370Z,173,211,263,177,198,230,226,214,161,214,159,158
Nissan Altima,12189,16216,23075,16531,24218,16548,11236,22403,17553,13531,16551,19132
Nissan Armada,2202,3190,4409,1917,4490,2505,1673,1716,2507,2714,1754,2967
Nissan Frontier,6062,6291,7868,4258,7497,7346,5641,5888,3835,8031,4932,4720
Nissan GT-R,19,25,49,33,18,30,27,41,31,25,16,17
Nissan Juke,3,2,4,1,0,0,0,0,0,1,0,0
Nissan Kicks,3812,3563,5144,3503,6005,7236,6576,7058,4177,3362,3634,4123
Nissan Leaf,717,654,1314,951,1216,1156,938,1117,1048,887,1140,1227
Nissan Maxima,3457,3504,3593,2009,2153,2079,2124,3548,3732,3217,2273,3387
Nissan Murano,4080,3412,4237,3476,5634,5133,6454,9462,8460,7477,5349,5187
Nissan NV,1263,1439,1805,1494,1829,1706,1776,2503,1861,1312,1315,1719
Nissan NV200,1313,1265,2077,1735,1825,1737,1599,1444,1316,1532,1463,1462
Nissan Pathfinder,5268,4860,7226,4713,7751,6494,4686,4223,4121,5636,4819,5894
Nissan Quest,0,0,0,0,0,0,0,0,0,0,0,0
Nissan Rogue,26113,31899,35802,24159,28600,28694,25955,41629,29449,27082,23734,27331
Nissan Sentra,14088,17072,25633,13051,18831,21224,16365,11393,10493,13889,11546,11033
Nissan Titan,3031,2722,3930,2489,3189,2665,2242,2589,2555,2134,2052,1916
Nissan Versa,6649,7410,10933,6710,8116,8882,2702,2817,2914,3373,2825,3265
Porsche 718,263,163,239,612,456,422,438,339,271,239,247,191
Porsche 911,1101,990,803,655,613,458,408,382,911,1302,979,663
Porsche Cayenne,2150,1762,1647,1645,1680,1147,1334,1454,1512,1216,1972,1482
Porsche Macan,1418,1403,1387,1114,1740,2649,2300,2038,2142,2330,2471,1675
Porsche Panamera,487,508,703,992,521,529,476,423,377,360,657,592
Porsche Taycan,0,0,0,0,0,0,0,0,0,0,0,130
Ram Pickup,34889,39950,45187,49106,62250,68098,53169,59550,48916,56825,58929,56825
Ram ProMaster,3759,4632,4928,3805,3651,5937,4799,5375,4415,4975,5159,4975
Ram ProMaster City,1001,960,1707,900,1216,1192,979,1096,901,977,1013,977
Smart ForTwo,83,58,90,85,85,74,56,74,0,0,0,0
Subaru Ascent,4981,6160,7932,6512,7509,7014,7296,7319,5319,6091,7545,8280
Subaru BRZ,259,242,318,287,231,203,167,158,111,112,115,131
Subaru CrossTrek,8236,8257,9704,9319,11551,11392,12283,15860,11895,12137,10378,10140
Subaru Forester,13318,13133,14205,14782,16028,14753,14731,17076,13421,15910,16386,16436
Subaru Impreza,4183,4291,5305,4819,5532,5558,6225,7519,5861,5696,5686,5740
Subaru Impreza WRX,1751,1987,2465,2197,2110,1864,1732,1876,1385,1409,1501,1561
Subaru Legacy,2403,2683,3133,2991,2994,3222,3244,3121,2386,2670,2801,3415
Subaru Outback,10941,12328,18539,16381,18017,17505,18428,17110,11281,11506,12481,16661
Tesla Model 3,6500,5750,10175,10050,13950,20550,13450,13150,20250,15566,16143,15566
Tesla Model S,875,800,2275,825,1025,1750,975,1050,1100,1235,1280,1235
Tesla Model X,950,1100,2175,1050,1375,2725,1225,1825,1675,1811,1878,1811
Toyota 4Runner,10335,9984,12510,10055,10351,9638,10087,13258,9478,12248,12391,11529
Toyota 86 / FR-S,256,231,320,268,327,259,300,345,211,298,307,276
Toyota Avalon,1858,1906,2855,2372,3250,2616,2705,3064,1827,1755,1715,1844
Toyota C-HR,4102,4743,5676,3656,3994,3640,3591,4935,3440,3900,3950,3303
Toyota Camry,23802,24267,33615,29227,36208,28889,27134,31986,23328,26602,25611,26309
Toyota Corolla,25113,29016,24479,19679,25712,28869,30635,30121,20354,22378,24752,23742
Toyota FJ Cruiser,0,0,0,0,1,0,0,0,0,0,0,0
Toyota Highlander,14413,17384,20824,17190,21548,19824,22328,28364,18294,18857,19962,20449
Toyota Land Cruiser,114,369,324,253,296,272,249,283,226,418,372,360
Toyota Mirai,77,94,176,202,248,166,126,98,62,89,98,66
Toyota Prius Family,2987,3661,5410,4799,6615,5769,6592,8261,6164,6679,6723,6058
Toyota RAV4,24505,26149,33166,34139,43499,39152,39645,49481,34886,37499,44665,41282
Toyota Sequoia,726,841,843,592,793,769,1041,1122,856,915,915,876
Toyota Sienna,4979,5286,8351,6951,8353,7163,6552,6172,4438,4801,5363,5176
Toyota Supra,0,0,0,0,0,0,320,643,514,516,487,404
Toyota Tacoma,16852,18533,22798,20375,22832,20476,20416,27010,18330,19725,20727,20727
Toyota Tundra,7159,7590,10351,8862,10657,9878,11088,12427,8050,8081,8816,8714
Toyota Venza,0,0,1,1,0,0,0,2,5,0,0,0
Toyota Yaris,1323,2572,3999,3885,2953,1925,1370,831,333,883,910,932
Volkswagen Arteon,0,0,0,78,245,275,252,329,304,366,317,283
Volkswagen Atlas,3803,4795,7381,6050,8273,7424,7688,8227,6064,6647,7756,7400
Volkswagen Beetle,971,1457,2027,1566,1691,1686,2224,1916,1208,967,790,712
Volkswagen CC,9,4,9,5,6,5,6,3,3,2,4,2
Volkswagen Golf,1774,2070,3942,3682,3834,3656,3330,3808,2917,2963,2753,2664
Volkswagen Jetta,6875,7109,9105,7745,9653,8486,8086,9592,8090,8582,8966,8164
Volkswagen Passat,2899,2097,2762,1607,1294,797,628,572,314,211,228,714
Volkswagen Tiguan,6705,8145,11847,10564,10692,9378,8968,10958,8039,8333,8403,7931
Volkswagen Touareg,38,29,19,12,14,18,6,7,8,1,1,7
Volvo 60-Series,1400,1058,1501,1259,1767,1989,1309,1456,1951,2550,1933,2017
Volvo 90-Series,514,367,346,333,206,226,212,141,1094,204,191,218
Volvo XC40,1042,985,1550,1824,1715,1437,2072,1501,1090,1048,1404,1979
Volvo XC60,1471,2229,2936,2251,2872,2807,2426,2926,2253,2285,2585,3537
Volvo XC90,1427,1996,3236,2700,3201,3475,2776,3163,2935,2720,3522,4609
,,,,,,,,,,,,
,"∑ = 1,172,653","∑ = 1,257,589","∑ = 1,552,126","∑ = 1,355,548","∑ = 1,606,260","∑ = 1,462,664","∑ = 1,417,418","∑ = 1,628,577","∑ = 1,282,712","∑ = 1,384,010","∑ = 1,445,173","∑ = 1,459,164"
