Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,935,1083,723,506,1039,1109,1230,1331,1377,1523,1141,1417
Acura MDX,2961,3843,2137,1725,3331,3977,4494,5165,4920,4732,4491,6040
Acura NSX,9,9,16,5,6,10,15,3,10,22,9,14
Acura RDX,3493,4982,2678,1760,4427,5410,5317,5057,4664,5022,4155,5820
Acura RLX,63,84,31,26,71,126,134,118,122,126,81,72
Acura TLX,1769,2263,1452,1024,1467,1439,1886,1973,1848,2365,2014,2285
Alfa Romeo 4C,10,13,8,7,16,17,7,7,7,2,2,3
Alfa Romeo Giulia,571,740,448,305,677,711,769,683,740,864,709,987
Alfa Romeo Stelvio,621,804,487,360,801,841,997,886,960,1189,977,1359
Audi A3,727,941,570,342,761,799,896,796,863,1094,899,1250
Audi A4,1283,1661,1006,795,1766,1854,2089,1857,2012,1356,1114,1549
Audi A5,1728,2237,1355,898,1996,2096,1304,1159,1255,1619,1330,1850
Audi A6,809,1048,635,374,830,872,1216,1081,1171,843,693,964
Audi A7,211,273,165,107,238,250,263,233,253,292,240,334
Audi A8,180,233,141,83,185,194,230,204,222,237,195,271
Audi eTron,556,719,436,209,464,488,805,716,775,686,564,784
Audi Q3,1805,2336,1415,794,1764,1853,2571,2286,2476,3357,2758,3837
Audi Q5,3235,4188,2537,1453,3229,3390,3976,3534,3829,7106,5837,8121
Audi Q7,2024,2621,1587,795,1767,1856,2151,1912,2071,2897,2380,3311
Audi Q8,791,1024,620,357,794,834,1142,1015,1100,1483,1218,1694
Audi R8,32,41,25,18,41,43,69,61,66,63,52,72
Audi TT,57,74,45,45,100,105,83,74,80,57,47,65
BMW 2-Series,576,745,451,685,1522,1598,1467,1299,16,1636,1344,1870
BMW 3-Series,3447,4463,2703,1388,3085,3239,3638,3222,1383,4292,3525,4905
BMW 4-Series,714,924,560,317,704,739,587,520,3430,1303,1070,1489
BMW 5-Series,1752,2269,1374,889,1976,2075,1877,1663,553,3740,3072,4275
BMW 6-Series,17,22,13,12,26,28,9,8,1770,19,15,21
BMW 7-Series,547,709,429,209,465,488,479,424,9,751,617,858
BMW 8-Series,550,712,431,314,699,734,742,657,699,734,603,839
BMW i3,21,27,16,34,75,79,216,191,203,216,177,247
BMW i8,21,28,17,9,20,21,17,15,16,9,8,11
BMW X1,1342,1738,1053,415,923,969,1275,1129,1202,1458,1198,1666
BMW X2,742,961,582,318,707,743,613,543,578,533,438,610
BMW X3,3447,4463,2703,1703,3784,3973,5714,5061,5388,7942,6523,9076
BMW X4,581,752,455,247,549,577,567,502,535,977,803,1117
BMW X5,3455,4473,2709,1533,3407,3577,4491,3977,4234,6294,5170,7193
BMW X6,406,526,319,216,480,504,698,618,658,967,794,1105
BMW X7,4188,1927,1167,733,1628,1710,1709,1513,1611,2376,1952,2716
BMW Z4,203,263,159,149,332,349,252,223,238,66,54,76
Buick Cascada,2,3,2,1,2,2,0,0,0,0,0,0
Buick Enclave,2843,3680,2229,1342,2981,3130,3484,3097,3355,4162,3419,4757
Buick Encore,5469,7081,4289,1806,4013,4214,3907,3473,3763,2138,1756,2444
Buick Encore GX,0,0,0,1666,3702,3888,5617,4993,5409,5723,4701,6541
Buick Envision,2252,2915,1766,1419,3152,3310,4087,3633,3935,2859,2348,3267
Buick LaCrosse,45,58,35,13,28,30,2,2,2,5,4,5
Buick Regal,390,505,306,148,329,345,141,135,135,20,16,23
Cadillac ATS,15,20,12,8,18,19,6,5,6,2,2,2
Cadillac CT4,13,17,10,106,236,248,539,479,519,918,754,1049
Cadillac CT5,974,1262,764,464,1030,1082,1403,1247,1351,1732,1423,1980
Cadillac CT6,560,725,439,149,330,347,148,132,142,49,40,56
Cadillac CTS,52,67,41,30,67,71,52,46,50,46,37,52
Cadillac Escalade,1825,2363,1431,888,1974,2073,1591,1414,1532,3189,2620,3645
Cadillac XT4,1677,2171,1315,716,1591,1671,2225,1978,2142,2357,1936,2694
Cadillac XT5,2931,3794,2298,1041,2313,2429,3320,2951,3197,3694,3034,4222
Cadillac XT6,1648,2134,1292,744,1652,1735,2191,1948,2110,2414,1983,2759
Cadillac XTS,154,199,120,48,106,111,85,75,82,74,61,85
Chevrolet Blazer,7192,9312,5640,3551,7890,8285,10339,9190,9956,7841,6441,8961
Chevrolet Bolt,1908,2470,1496,449,998,1048,1992,1771,1919,2261,1857,2584
Chevrolet Camaro,2334,3021,1830,1202,2670,2804,2934,2608,2825,2547,2092,2910
Chevrolet Colorado,6960,9011,5458,3572,7937,8334,9557,8495,9203,9348,7678,10683
Chevrolet Corvette,1241,1606,973,443,984,1033,2228,1981,2146,3033,2492,3467
Chevrolet Cruze,132,170,103,50,111,116,25,22,24,10,8,12
Chevrolet Equinox,23858,30887,18708,9144,20319,21335,23660,21031,22784,26741,21966,30561
Chevrolet Express,4323,5596,3390,1621,3602,3783,5184,4608,4992,6052,4972,6917
Chevrolet Impala,1613,2088,1265,366,813,854,672,597,647,347,285,396
Chevrolet Malibu,11460,14837,8987,2279,5064,5318,8926,7934,8595,9868,8106,11278
Chevrolet Silverado,46673,60425,36600,22038,48973,51421,51715,45969,49800,60535,49725,69183
Chevrolet Sonic,1410,1825,1106,380,844,887,1524,1355,1468,745,612,851
Chevrolet Spark,3038,3933,2382,956,2124,2231,2936,2610,2827,3523,2894,4026
Chevrolet Suburban,3084,0,2418,1263,2806,2947,2647,2353,2549,4580,3762,5235
Chevrolet Tahoe,6627,8579,5197,2883,6406,6727,8107,7207,7807,9681,7952,11064
Chevrolet TrailBlazer,1,1,1,1206,2680,2814,3619,3217,3485,5825,4785,6658
Chevrolet Traverse,9775,12655,7665,4017,8926,9372,11082,9850,10671,14011,11509,16013
Chevrolet Trax,9173,11876,7193,4044,8986,9436,10339,9190,9956,8807,7234,10065
Chevrolet Volt,7,10,6,7,16,16,2,2,2,0,0,0
Chrysler 200,1,1,1,0,0,0,1,1,1,1,1,1
Chrysler 300,1818,2353,1245,502,1115,1171,1112,988,1070,1720,1413,1966
Chrysler Pacifica,7966,10313,6247,1992,4428,4649,10062,8944,0,9956,8178,11378
Chrysler Town and Country,0,0,0,0,0,0,0,0,9690,0,0,0
Dodge Challenger,3942,5104,3092,1778,3952,4150,5727,5090,5515,4927,4047,5631
Dodge Charger,6050,7833,4745,2062,4582,4812,8257,7339,7951,8027,6594,9174
Dodge Dart,1,1,1,0,1,1,0,0,0,0,0,0
Dodge Durango,5783,7487,4535,2105,4678,4911,5595,4974,5388,4174,3428,4770
Dodge Grand Caravan,8098,10483,6350,952,2116,2222,2080,1849,2003,881,724,1007
Dodge Journey,4921,6371,3859,978,2174,2282,3564,3168,3432,3236,2658,3698
Dodge Viper,0,0,0,0,0,0,1,1,1,1,1,1
Fiat 124 Spider,126,163,99,105,232,244,146,130,140,110,90,126
Fiat 500,106,138,83,43,96,100,34,30,32,4,3,5
Fiat 500L,42,55,33,22,50,52,48,43,47,28,23,32
Fiat 500X,92,119,72,71,158,166,158,141,153,106,87,121
Ford Bronco Sport,0,0,0,0,0,0,0,0,0,0,22,5098
Ford E-Series,3280,4246,2572,1044,2321,2437,3256,2894,3136,4469,3412,3934
Ford EcoSport,4197,5434,3291,3102,6893,7237,5977,5313,5755,4210,4318,4817
Ford Edge,9614,12446,7539,3789,8421,8842,9191,8170,8850,10387,9096,12541
Ford Escape,15628,20233,12255,6602,14672,15406,16465,14636,15855,15959,13411,17373
Ford Expedition,6428,8322,5041,2260,5022,5273,6803,6047,6551,9014,7025,10052
Ford Explorer,18289,23678,14342,8071,17936,18832,20709,18408,19942,21079,18848,26081
Ford F-Series,60595,78449,47517,32549,72330,75947,77720,69085,74842,71593,52698,74047
Ford Fiesta,884,1145,694,78,174,182,47,42,46,11,51,0
Ford Flex,801,1037,628,303,674,708,189,168,182,41,118,0
Ford Fusion,11997,15532,9408,4407,9794,10283,10254,9115,9874,6526,5902,7573
Ford GT,26,33,20,3,7,8,0,0,0,14,4,10
Ford Mustang,5869,7598,4602,2829,6287,6601,4857,4317,4677,4399,4119,4935
Ford Mustang Mach E,0,0,0,0,0,0,0,0,0,0,0,3
Ford Ranger,6814,8822,5344,4501,10003,10503,9941,8836,9573,8779,8495,9874
Ford Transit,11964,15490,9382,3230,7178,7536,13637,12122,13132,12403,9917,15566
Ford Transit Connect,2457,3181,1927,1217,2704,2839,3828,3402,3686,2886,2993,3476
Genesis G70,716,841,517,551,870,897,883,950,899,826,683,803
Genesis G80,456,457,284,161,319,324,242,226,133,89,55,613
Genesis G90,227,289,168,94,161,208,132,184,96,139,139,235
Genesis GV80,0,0,0,0,0,0,0,0,0,0,58,1459
GMC Acadia,5744,7437,4505,2744,6097,6402,6393,5682,6156,7212,5924,8242
GMC Canyon,1456,1885,1142,941,2090,2195,2270,2018,2186,3039,2496,3473
GMC Savana,1358,1759,1065,537,1194,1253,1698,1510,1635,1045,859,1195
GMC Sierra,17217,22290,13501,9688,21530,22606,23778,21136,22898,26438,21717,30215
GMC Terrain,8215,10635,6442,2509,5576,5854,7473,6643,7197,8594,7060,9822
GMC Yukon,4569,5915,3583,1898,4217,4428,4935,4386,4752,8352,6861,9546
Honda Accord,15099,18216,13810,8851,17369,15409,17221,19167,20149,19185,15473,19509
Honda Civic,20054,25617,18273,13410,27244,23260,25188,25524,22371,21865,17372,21047
Honda Clarity FCV,475,559,221,90,248,187,213,251,354,719,347,0
Honda CR-V,26027,28268,16891,12201,29023,26488,20473,34391,33572,32415,25633,38120
Honda CR-Z,0,1,0,0,0,0,0,0,0,0,0,551
Honda Fit,2534,2853,1792,1187,2598,2923,3571,3814,3116,3082,2313,2705
Honda HR-V,7457,8114,3843,2906,7063,7512,8402,8942,7560,7421,6379,8428
Honda Insight,1433,1613,857,511,1127,1423,1922,1886,1472,1375,1080,1233
Honda Odyssey,5622,6494,4274,3933,7648,7946,7286,8644,7844,8001,7016,8701
Honda Passport,2846,3109,1878,1594,3536,3060,3291,4070,4281,4102,3456,4344
Honda Pilot,7765,9688,6445,6562,12227,12128,12036,12508,10643,11631,9126,13054
Honda Ridgeline,3083,3210,1832,1460,2553,2367,2771,3081,2755,3401,2528,3127
Hyundai Accent,1565,2046,1196,736,1512,1239,1538,1135,1348,1129,972,1559
Hyundai Elantra,7874,10441,7430,7536,7608,7561,9283,9135,8235,11428,8095,10849
Hyundai Ioniq,1278,1481,763,422,626,868,1826,879,1096,1202,1090,2039
Hyundai Kona,4208,7092,3874,3114,6536,5943,7077,7998,6971,6540,8551,8349
Hyundai Nexo,16,28,7,3,10,12,16,25,21,37,20,13
Hyundai Palisade,5432,6967,3934,3331,7866,8169,8404,7983,7741,7519,6436,8123
Hyundai Santa Fe,7148,7152,6358,5602,9549,8376,9296,9129,8566,9072,8765,12500
Hyundai Sonata,5501,6144,3957,3428,5852,5407,6834,7965,8038,7570,8242,8059
Hyundai Tuscon,8068,9594,6073,8438,15552,10216,10922,11632,10644,10898,9739,11881
Hyundai Veloster,665,842,575,541,858,0,861,836,601,443,296,267
Hyundai Venue,989,1226,951,817,1650,0,1620,1644,1529,1557,2965,2639
Infiniti Q50,1811,2344,1420,656,1457,1530,1356,1206,1306,1163,955,1329
Infiniti Q60,301,390,236,139,308,323,207,184,199,171,140,195
Infiniti Q70,37,48,29,3,6,6,2,2,2,1,1,2
Infiniti QX30,36,47,29,4,8,9,5,4,4,1,1,1
Infiniti QX50,1354,1753,1062,882,1960,2058,1929,1714,1857,2131,1750,2435
Infiniti QX60,2943,3810,2308,560,1244,1306,1870,1663,1801,1813,1489,2072
Infiniti QX80,1818,2354,1426,655,1455,1528,721,641,695,1630,1339,1863
Jaguar E-Pace,443,393,410,117,260,273,316,281,304,304,248,347
Jaguar F-Pace,1418,1261,1313,342,760,798,701,623,675,1012,831,1157
Jaguar F-Type,181,161,168,52,116,122,140,125,135,169,139,193
Jaguar I-Pace,158,141,147,108,240,252,175,156,169,135,111,154
Jaguar XE,187,166,173,65,144,151,140,125,135,135,111,154
Jaguar XF,67,60,62,29,64,67,70,62,68,67,55,77
Jaguar XJ,127,113,117,65,144,151,105,94,101,34,28,39
Jeep Cherokee,10938,14160,8577,4187,9305,9770,14370,12773,13838,12798,10512,14626
Jeep Compass,9686,12539,7595,3312,7360,7728,10375,9222,9991,10174,8358,11628
Jeep Gladiator,4956,6416,3886,3522,7827,8219,7771,6908,7484,6933,5695,7924
Jeep Grand Cherokee,16267,21060,12756,8339,18530,19457,19793,17594,19060,19205,15776,21949
Jeep Renegade,4600,5956,3608,2285,5078,5332,6649,5910,6402,5744,4718,6565
Jeep Wrangler,12884,16680,10103,10163,22585,23714,18960,16853,18258,17242,14163,19705
Kia Cadenza,197,192,96,50,70,65,100,53,99,115,99,129
Kia Forte,6248,8513,7598,4222,6603,6260,7410,8414,7643,8107,6860,7119
Kia K5,0,0,0,0,0,0,1268,3631,5763,7528,7437,6029
Kia K900,26,23,16,12,25,23,25,34,25,41,22,33
Kia Niro,1570,1951,1454,774,1318,1185,1307,1991,1682,1524,1144,1534
Kia Optima,6177,5760,8408,6894,5854,5732,4949,3307,1020,255,104,24
Kia Rio,1628,3082,2135,1436,1760,1706,2056,2097,2143,2104,1728,2052
Kia Sedona,1012,1416,1180,705,1482,1219,1036,1036,1045,1029,797,1233
Kia Seltos,94,2798,2160,1839,3551,3636,4504,5314,5613,5542,5122,6107
Kia Sorento,5470,6875,5710,4286,7262,8193,8008,7809,6879,5832,2938,5415
