Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Teenage Mutant Ninja Turtles,2001 acura mdx,1,acura mdx,acura mdx,13,"$191,204,754",Paramount Pictures,2014,0,1,1,13,1
Nightcrawler,1999 acura rl,1,acura rl,acura rl,90,"$31,825,147",Open Road Films (II),2014,0,1,1,90,1
The Amazing Spider-Man 2,1999 acura tl,1,acura tl,acura tl,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,2,2,10,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2006 acura tsx,1,acura tsx,acura tsx,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,1,1,47,1
Lucy,1996 audi a3,2,audi a3,audi a3,23,"$126,663,600",Universal Pictures,2014,0,4,4,23,2
The Amazing Spider-Man 2,2003 audi a4 cabriolet b6,1,audi a4,audi a4,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,5,5,10,1
Captain America: The Winter Soldier,1998 audi a4 avant b5,1,audi a4 avant,audi a4 avant,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
Transformers: Age of Extinction,2010 audi a5 cabriolet b8,2,audi a5,audi a5,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,2
Transformers: Age of Extinction,2005 audi a6 c6,1,audi a6,audi a6,5,"$245,439,076",Paramount Pictures,2014,0,6,6,5,1
3 Days to Kill,2005 audi a8 d3,4,audi a8,audi a8,93,"$30,697,999",Relativity Media,2014,1,0,1,93,4
The Fault in Our Stars,2009 audi q5,1,audi q5,audi q5,25,"$124,872,350",Twentieth Century Fox,2014,0,2,2,25,1
The Expendables 3,2006 audi q7,2,audi q7,audi q7,81,"$39,322,544",Lionsgate,2014,0,3,3,81,2
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014 audi r8 spyder,1,audi r8,audi r8,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,4,4,47,1
The Purge: Anarchy,2005 bentley continental gt,1,bentley continental gt,bentley continental gt,45,"$71,962,800",Universal Pictures,2014,0,1,1,45,1
Transformers: Age of Extinction,2010 bentley mulsanne,1,bentley mulsanne,bentley mulsanne,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
The Amazing Spider-Man 2,bmw 1 cabriolet [e88],1,bmw 1,bmw 1-series,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,2,2,10,1
Need for Speed,1970 bmw 2800 cs [e9],2,bmw 2,bmw 2-series,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,0,3,3,76,2
Ride Along,2003 bmw 330ci [e46],3,bmw 3,bmw 3-series,21,"$134,938,200",Universal Pictures,2014,2,17,19,21,3
God's Not Dead,2010 bmw 5 [f10],2,bmw 5,bmw 5-series,52,"$60,755,732",Freestyle Releasing,2014,0,13,13,52,2
God's Not Dead,bmw 6 [e64],2,bmw 6,bmw 6-series,52,"$60,755,732",Freestyle Releasing,2014,0,5,5,52,2
John Wick,2013 bmw 750li [f02],2,bmw 7,bmw 7-series,79,"$42,820,432",Lionsgate,2014,0,5,5,79,2
Think Like a Man Too,2013 bmw x1 [e84],1,bmw x1,bmw x1,48,"$65,182,182",Screen Gems,2014,0,1,1,48,1
Chef,2011 bmw x3 [f25],1,bmw x3,bmw x3,91,"$31,424,003",Open Road Films (II),2014,0,1,1,91,1
Jack Ryan: Shadow Recruit,2010 bmw x5 [e70],2,bmw x5,bmw x5,66,"$50,577,412",Paramount Pictures,2014,0,1,1,66,2
RoboCop,bmw z4 [e89],1,bmw z4,bmw z4,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
God's Not Dead,2008 buick enclave,1,buick enclave,buick enclave,52,"$60,755,732",Freestyle Releasing,2014,0,1,1,52,1
Transformers: Age of Extinction,2011 buick regal,1,buick regal,buick regal,5,"$245,439,076",Paramount Pictures,2014,0,4,4,5,1
Transformers: Age of Extinction,2014 cadillac cts,3,cadillac cts,cadillac cts,5,"$245,439,076",Paramount Pictures,2014,1,2,3,5,3
The Amazing Spider-Man 2,2006 cadillac dts,1,cadillac dts,cadillac dts,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,2,2,10,1
Transformers: Age of Extinction,2007 cadillac escalade esv,3,cadillac escalade,cadillac escalade,5,"$245,439,076",Paramount Pictures,2014,4,2,6,5,3
Transformers: Age of Extinction,2010 cadillac srx,3,cadillac srx,cadillac srx,5,"$245,439,076",Paramount Pictures,2014,1,2,3,5,3
Transformers: Age of Extinction,2013 cadillac xts,2,cadillac xts,cadillac xts,5,"$245,439,076",Paramount Pictures,2014,0,3,3,5,2
Need for Speed,2002 chevrolet avalanche,2,chevrolet avalanche,chevrolet avalanche,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,0,2,2,76,2
Transformers: Age of Extinction,2005 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
Captain America: The Winter Soldier,2002 chevrolet blazer,1,chevrolet blazer,chevrolet blazer,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
Transformers: Age of Extinction,2014 chevrolet camaro concept,5,chevrolet camaro,chevrolet camaro,5,"$245,439,076",Paramount Pictures,2014,6,9,15,5,5
Transformers: Age of Extinction,2013 chevrolet captiva sport,1,chevrolet captiva sport,chevrolet captiva sport,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
Transformers: Age of Extinction,2005 chevrolet cobalt,2,chevrolet cobalt,chevrolet cobalt,5,"$245,439,076",Paramount Pictures,2014,0,3,3,5,2
Transformers: Age of Extinction,2014 chevrolet corvette stingray c7,4,chevrolet corvette,chevrolet corvette,5,"$245,439,076",Paramount Pictures,2014,3,6,9,5,4
Transformers: Age of Extinction,2011 chevrolet cruze,2,chevrolet cruze,chevrolet cruze,5,"$245,439,076",Paramount Pictures,2014,0,9,9,5,2
God's Not Dead,2005 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,52,"$60,755,732",Freestyle Releasing,2014,0,2,2,52,1
Nightcrawler,2000 chevrolet express,2,chevrolet express,chevrolet express,90,"$31,825,147",Open Road Films (II),2014,0,7,7,90,2
The Equalizer,2006 chevrolet hhr,1,chevrolet hhr,chevrolet hhr,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,2,2,30,1
Captain America: The Winter Soldier,2006 chevrolet impala,3,chevrolet impala,chevrolet impala,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,3,22,25,3,3
Transformers: Age of Extinction,2013 chevrolet malibu,2,chevrolet malibu,chevrolet malibu,5,"$245,439,076",Paramount Pictures,2014,0,18,18,5,2
Captain America: The Winter Soldier,2014 chevrolet silverado,2,chevrolet silverado,chevrolet silverado,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,10,10,3,2
Transformers: Age of Extinction,2013 chevrolet sonic rs,3,chevrolet sonic,chevrolet sonic,5,"$245,439,076",Paramount Pictures,2014,1,0,1,5,3
Godzilla,2013 chevrolet spark,1,chevrolet spark,chevrolet spark,11,"$200,676,069",Warner Bros.,2014,0,2,2,11,1
Gone Girl,2010 chevrolet suburban,4,chevrolet suburban,chevrolet suburban,17,"$166,197,583",Twentieth Century Fox,2014,2,11,13,17,4
Captain America: The Winter Soldier,2007 chevrolet tahoe,3,chevrolet tahoe,chevrolet tahoe,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,3,5,8,3,3
Captain America: The Winter Soldier,chevrolet trailblazer,1,chevrolet trailblazer,chevrolet trailblazer,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,1
Captain America: The Winter Soldier,2013 chevrolet traverse,1,chevrolet traverse,chevrolet traverse,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
Transformers: Age of Extinction,2015 chevrolet trax,3,chevrolet trax,chevrolet trax,5,"$245,439,076",Paramount Pictures,2014,1,0,1,5,3
Captain America: The Winter Soldier,2005 chevrolet uplander,1,chevrolet uplander,chevrolet uplander,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,1,1,3,1
Transformers: Age of Extinction,2013 chevrolet volt,2,chevrolet volt,chevrolet volt,5,"$245,439,076",Paramount Pictures,2014,0,3,3,5,2
Jack Ryan: Shadow Recruit,2011 chrysler 200,1,chrysler 200,chrysler 200,66,"$50,577,412",Paramount Pictures,2014,0,1,1,66,1
Think Like a Man Too,2012 chrysler 300 stretched limousine,2,chrysler 300,chrysler 300,48,"$65,182,182",Screen Gems,2014,0,6,6,48,2
Captain America: The Winter Soldier,2005 chrysler pacifica,1,chrysler pacifica,chrysler pacifica,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,2,2,3,1
Jack Ryan: Shadow Recruit,2001 chrysler pt cruiser,1,chrysler pt cruiser,chrysler pt cruiser,66,"$50,577,412",Paramount Pictures,2014,0,2,2,66,1
Captain America: The Winter Soldier,2001 chrysler sebring,1,chrysler sebring,chrysler sebring,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,6,6,3,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2011 chrysler town & country,4,chrysler town & country,chrysler town & country,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,2,2,4,47,4
Godzilla,2011 dodge avenger,1,dodge avenger,dodge avenger,11,"$200,676,069",Warner Bros.,2014,0,4,4,11,1
RoboCop,2007 dodge caliber,1,dodge caliber,dodge caliber,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
Nightcrawler,2012 dodge challenger srt 392,4,dodge challenger,dodge challenger,90,"$31,825,147",Open Road Films (II),2014,1,2,3,90,4
Ride Along,2012 dodge charger,4,dodge charger,dodge charger,21,"$134,938,200",Universal Pictures,2014,4,9,13,21,4
Captain America: The Winter Soldier,1997 dodge dakota,2,dodge dakota,dodge dakota,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,3,3,3,2
Ride Along,2013 dodge dart,1,dodge dart,dodge dart,21,"$134,938,200",Universal Pictures,2014,0,2,2,21,1
Captain America: The Winter Soldier,2002 dodge durango,1,dodge durango,dodge durango,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
Heaven Is for Real,2005 dodge grand caravan,3,dodge grand caravan,dodge grand caravan,33,"$91,443,253",TriStar Pictures,2014,1,5,6,33,3
Dolphin Tale 2,2011 dodge journey,3,dodge journey,dodge journey,80,"$42,024,533",Warner Bros.,2014,1,0,1,80,3
Ride Along,2004 dodge ram srt-10,3,dodge ram,dodge ram,21,"$134,938,200",Universal Pictures,2014,1,6,7,21,3
Gone Girl,2012 fiat 500,2,fiat 500,fiat 500,17,"$166,197,583",Twentieth Century Fox,2014,0,3,3,17,2
Night at the Museum: Secret of the Tomb,2013 ford c-max hybrid,2,ford c-max,ford c-max,46,"$69,354,582",Twentieth Century Fox,2014,0,1,1,46,2
Let's Be Cops,2001 ford crown victoria,4,ford crown victoria,ford crown victoria,40,"$82,390,774",Twentieth Century Fox,2014,5,47,52,40,4
Godzilla,2003 ford e-series,3,ford e-,ford e-series,11,"$200,676,069",Warner Bros.,2014,2,17,19,11,3
Ouija,2011 ford edge,1,ford edge,ford edge,65,"$50,856,010",Universal Pictures,2014,0,1,1,65,1
Captain America: The Winter Soldier,2008 ford escape,1,ford escape,ford escape,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,9,9,3,1
John Wick,1997 ford expedition gen.1,2,ford expedition,ford expedition,79,"$42,820,432",Lionsgate,2014,0,8,8,79,2
The Judge,2011 ford explorer,4,ford explorer,ford explorer,73,"$47,003,241",Warner Bros.,2014,1,12,13,73,4
Need for Speed,2011 ford f-series super duty,4,ford f-,ford f-series,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,7,32,39,76,4
Heaven Is for Real,2011 ford fiesta mkvi,1,ford fiesta,ford fiesta,33,"$91,443,253",TriStar Pictures,2014,0,3,3,33,1
The Purge: Anarchy,2012 ford focus,3,ford focus,ford focus,45,"$71,962,800",Universal Pictures,2014,1,16,17,45,3
The Amazing Spider-Man 2,2010 ford fusion,1,ford fusion,ford fusion,10,"$202,853,933",Sony Pictures Entertainment (SPE),2014,0,6,6,10,1
John Wick,ford gt 40 replica,1,ford gt,ford gt,79,"$42,820,432",Lionsgate,2014,0,2,2,79,1
Need for Speed,2014 ford mustang,5,ford mustang,ford mustang,76,"$43,577,636",Walt Disney Studios Motion Pictures,2014,2,15,17,76,5
No Good Deed,2001 ford ranger,3,ford ranger,ford ranger,62,"$52,651,326",Screen Gems,2014,1,1,2,62,3
Ride Along,2008 ford taurus,3,ford taurus,ford taurus,21,"$134,938,200",Universal Pictures,2014,2,11,13,21,3
The Hundred-Foot Journey,1972 ford transit camper mki,4,ford transit,ford transit,61,"$54,240,821",Walt Disney Studios Motion Pictures,2014,1,1,2,61,4
Jack Ryan: Shadow Recruit,2011 ford transit connect,1,ford transit connect,ford transit connect,66,"$50,577,412",Paramount Pictures,2014,0,1,1,66,1
Into the Storm,2010 gmc acadia,3,gmc acadia,gmc acadia,71,"$47,602,194",Warner Bros.,2014,1,2,3,71,3
Captain America: The Winter Soldier,2002 gmc envoy,1,gmc envoy,gmc envoy,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,1,1,3,1
Earth to Echo,2007 gmc savana,3,gmc savana,gmc savana,83,"$38,934,842",Relativity Media,2014,1,1,2,83,3
Draft Day,2012 gmc sierra,4,gmc sierra,gmc sierra,97,"$28,842,237",Lionsgate,2014,1,0,1,97,4
Dumb and Dumber To,2010 gmc terrain,1,gmc terrain,gmc terrain,35,"$84,966,865",Universal Pictures,2014,0,3,3,35,1
Sex Tape,2010 gmc yukon,4,gmc yukon,gmc yukon,84,"$38,543,473",Sony Pictures Entertainment (SPE),2014,1,4,5,84,4
The Equalizer,2010 gmc yukon xl denali,3,gmc yukon xl,gmc yukon xl,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,1,3,4,30,3
The Fault in Our Stars,2008 honda accord,4,honda accord,honda accord,25,"$124,872,350",Twentieth Century Fox,2014,2,18,20,25,4
August: Osage County,1996 honda civic,3,honda civic,honda civic,85,"$37,484,719",The Weinstein Company,2014,1,17,18,85,3
No Good Deed,2007 honda cr-v,3,honda cr-v,honda cr-v,62,"$52,651,326",Screen Gems,2014,1,6,7,62,3
RoboCop,2011 honda cr-z,1,honda cr-z,honda cr-z,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,1
Lucy,2011 honda fit,1,honda fit,honda fit,23,"$126,663,600",Universal Pictures,2014,0,3,3,23,1
Let's Be Cops,2011 honda odyssey,2,honda odyssey,honda odyssey,40,"$82,390,774",Twentieth Century Fox,2014,0,5,5,40,2
Transformers: Age of Extinction,2006 honda pilot,1,honda pilot,honda pilot,5,"$245,439,076",Paramount Pictures,2014,0,2,2,5,1
Captain America: The Winter Soldier,2003 hummer h2,3,hummer h2,hummer h2,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,2,4,6,3,3
Captain America: The Winter Soldier,hyundai accent,1,hyundai accent,hyundai accent,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
About Last Night,2011 hyundai elantra,2,hyundai elantra,hyundai elantra,70,"$48,637,684",Screen Gems,2014,0,9,9,70,2
Captain America: The Winter Soldier,2001 hyundai santa fe,1,hyundai santa fe,hyundai santa fe,3,"$259,766,572",Walt Disney Studios Motion Pictures,2014,0,4,4,3,1
Transformers: Age of Extinction,2002 hyundai sonata,1,hyundai sonata,hyundai sonata,5,"$245,439,076",Paramount Pictures,2014,0,6,6,5,1
Dolphin Tale 2,hyundai tucson,1,hyundai tucson,hyundai tucson,80,"$42,024,533",Warner Bros.,2014,0,1,1,80,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2004 infiniti g35,1,infiniti g,infiniti g,47,"$65,641,801",Walt Disney Studios Motion Pictures,2014,0,3,3,47,1
Transformers: Age of Extinction,2006 infiniti m,1,infiniti m,infiniti q70/m,5,"$245,439,076",Paramount Pictures,2014,0,1,1,5,1
Horrible Bosses 2,2014 infiniti q50,2,infiniti q50,infiniti q50,63,"$51,745,425",Warner Bros.,2014,0,1,1,63,2
RoboCop,2008 infiniti qx56,2,infiniti qx56,infiniti qx80/qx56,56,"$58,607,007",Sony Pictures Entertainment (SPE),2014,0,1,1,56,2
Gone Girl,2012 jaguar xf [x250],3,jaguar xf,jaguar xf,17,"$166,197,583",Twentieth Century Fox,2014,2,3,5,17,3
The Equalizer,1986 jaguar xj6 [series iii],2,jaguar xj,jaguar xj,30,"$100,915,604",Sony Pictures Entertainment (SPE),2014,0,4,4,30,2
This Is Where I Leave You,1971 jaguar xk-e,3,jaguar xk,jaguar xk,88,"$34,296,320",Warner Bros.,2014,1,1,2,88,3
22 Jump Street,1997 jeep cherokee,1,jeep cherokee,jeep cherokee,12,"$191,719,337",Sony Pictures Entertainment (SPE),2014,0,4,4,12,1
Annie,2011 jeep compass,1,jeep compass,jeep compass,57,"$56,951,920",Sony Pictures Entertainment (SPE),2014,0,1,1,57,1
This Is Where I Leave You,2011 jeep grand cherokee,3,jeep grand cherokee,jeep grand cherokee,88,"$34,296,320",Warner Bros.,2014,1,7,8,88,3
The Fault in Our Stars,2010 jeep liberty,3,jeep liberty,jeep liberty,25,"$124,872,350",Twentieth Century Fox,2014,1,2,3,25,3
Interstellar,2013 jeep wrangler unlimited,4,jeep wrangler,jeep wrangler,15,"$179,387,895",Paramount Pictures,2014,3,3,6,15,4
