Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Avengers,2012 acura mdx,1,acura mdx,acura mdx,1,"$623,357,910",Walt Disney Studios Motion Pictures,2012,0,1,1,1,1
The Avengers,2012 acura nsx roadster concept,2,acura nsx,acura nsx,1,"$623,357,910",Walt Disney Studios Motion Pictures,2012,0,1,1,1,2
The Avengers,2013 acura rdx,1,acura rdx,acura rdx,1,"$623,357,910",Walt Disney Studios Motion Pictures,2012,0,1,1,1,1
American Reunion,1999 acura rl,1,acura rl,acura rl,54,"$57,011,521",Universal Pictures,2012,0,1,1,54,1
The Avengers,2012 acura tl,2,acura tl,acura tl,1,"$623,357,910",Walt Disney Studios Motion Pictures,2012,0,3,3,1,2
Jack Reacher,2004 acura tsx,1,acura tsx,acura tsx,70,"$47,550,642",Paramount Pictures,2012,0,1,1,70,1
Safe House,1998 audi a3,1,audi a3,audi a3,21,"$126,373,434",Universal Pictures,2012,0,3,3,21,1
Safe House,1999 audi a4 b5,2,audi a4,audi a4,21,"$126,373,434",Universal Pictures,2012,0,6,6,21,2
Skyfall,2005 audi a4 avant b7,1,audi a4 avant,audi a4 avant,4,"$290,904,271",Sony Pictures Entertainment (SPE),2012,0,2,2,4,1
Skyfall,2007 audi a5 b8,3,audi a5,audi a5,4,"$290,904,271",Sony Pictures Entertainment (SPE),2012,1,0,1,4,3
Jack Reacher,2005 audi a6 c6,3,audi a6,audi a6,70,"$47,550,642",Paramount Pictures,2012,1,0,1,70,3
The Girl with the Dragon Tattoo,2010 audi a8 d4,2,audi a8,audi a8,61,"$52,177,103",Sony Pictures Entertainment (SPE),2012,0,1,1,61,2
Jack Reacher,2007 audi q7,1,audi q7,audi q7,70,"$47,550,642",Paramount Pictures,2012,0,1,1,70,1
This Means War,2011 audi r8 spyder,3,audi r8,audi r8,56,"$54,760,791",Twentieth Century Fox,2012,1,0,1,56,3
Diary of a Wimpy Kid: Dog Days,2001 audi tt roadster,1,audi tt,audi tt,67,"$49,008,662",Twentieth Century Fox,2012,0,1,1,67,1
The Campaign,bentley continental gtc,1,bentley continental gt,bentley continental gt,31,"$86,907,746",Warner Bros.,2012,0,3,3,31,1
Mission: Impossible - Ghost Protocol,2010 bentley mulsanne,1,bentley mulsanne,bentley mulsanne,30,"$87,050,578",Paramount Pictures,2012,0,1,1,30,1
Mission: Impossible - Ghost Protocol,2011 bmw 118i [f20],2,bmw 1,bmw 1-series,30,"$87,050,578",Paramount Pictures,2012,0,1,1,30,2
The Bourne Legacy,2001 bmw 3 coupé [e46],2,bmw 3,bmw 3-series,24,"$113,203,870",Universal Pictures,2012,0,18,18,24,2
The Possession,1998 bmw 540i [e39],4,bmw 5,bmw 5-series,66,"$49,130,154",Lionsgate,2012,2,22,24,66,4
Mission: Impossible - Ghost Protocol,2011 bmw 6 [f12],3,bmw 6,bmw 6-series,30,"$87,050,578",Paramount Pictures,2012,1,1,2,30,3
Taken 2,2009 bmw 7 [f02],3,bmw 7,bmw 7-series,17,"$138,936,379",Twentieth Century Fox,2012,2,9,11,17,3
Diary of a Wimpy Kid: Dog Days,2012 bmw x1 [e84],1,bmw x1,bmw x1,67,"$49,008,662",Twentieth Century Fox,2012,0,1,1,67,1
Mission: Impossible - Ghost Protocol,2011 bmw x3 [f25],3,bmw x3,bmw x3,30,"$87,050,578",Paramount Pictures,2012,1,0,1,30,3
Safe House,2007 bmw x5 [e70],2,bmw x5,bmw x5,21,"$126,373,434",Universal Pictures,2012,0,6,6,21,2
