Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Fate of the Furious,2007 acura mdx,1,acura mdx,acura mdx,10,"$226,008,385",Universal Pictures,2017,0,2,2,10,1
Spider-Man: Homecoming,2007 acura rdx,1,acura rdx,acura rdx,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,1,1,5,1
Baby Driver,1999 acura rl,1,acura rl,acura rl,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Going in Style,2004 acura tl,1,acura tl,acura tl,61,"$45,018,541",Warner Bros.,2017,0,3,3,61,1
La La Land,2008 acura tsx,1,acura tsx,acura tsx,27,"$120,121,532",Lionsgate,2017,0,2,2,27,1
Fifty Shades Darker,2015 audi a3,2,audi a3,audi a3,30,"$114,581,250",Universal Pictures,2017,0,3,3,30,2
La La Land,2009 audi a4 b8,1,audi a4,audi a4,27,"$120,121,532",Lionsgate,2017,0,4,4,27,1
Split,2003 audi a4 avant b6,1,audi a4 avant,audi a4 avant,23,"$138,291,365",Universal Pictures,2017,0,2,2,23,1
How to Be a Latin Lover,2013 audi a5 b8,1,audi a5,audi a5,80,"$32,149,404",Pantelion Films,2017,0,1,1,80,1
The Hitman's Bodyguard,2005 audi a6 c6,2,audi a6,audi a6,41,"$75,468,583",Lionsgate,2017,0,5,5,41,2
Spider-Man: Homecoming,2017 audi a8 d5,2,audi a8,audi a8,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,1,1,5,2
John Wick: Chapter 2,2013 audi q3,1,audi q3,audi q3,36,"$92,029,184",Lionsgate,2017,0,1,1,36,1
The Foreigner,2013 audi q5,1,audi q5,audi q5,74,"$34,393,507",STX Entertainment,2017,0,1,1,74,1
Fifty Shades Darker,2017 audi q7,4,audi q7,audi q7,30,"$114,581,250",Universal Pictures,2017,1,1,2,30,4
Spider-Man: Homecoming,2016 audi r8 spyder,2,audi r8,audi r8,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,2,2,5,2
Spider-Man: Homecoming,2017 audi tts roadster,3,audi tt,audi tt,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,1,2,3,5,3
The Fate of the Furious,2010 bentley continental gt,3,bentley continental gt,bentley continental gt,10,"$226,008,385",Universal Pictures,2017,1,3,4,10,3
How to Be a Latin Lover,2014 bentley flying spur,2,bentley flying spur,bentley flying spur,80,"$32,149,404",Pantelion Films,2017,0,1,1,80,2
Spider-Man: Homecoming,2011 bentley mulsanne,2,bentley mulsanne,bentley mulsanne,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,2,2,5,2
The Hitman's Bodyguard,2004 bmw 1 [e87],1,bmw 1,bmw 1-series,41,"$75,468,583",Lionsgate,2017,0,1,1,41,1
Cars 3,1966 bmw 2000 cs,3,bmw 2,bmw 2-series,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,2,0,2,21,3
The Fate of the Furious,bmw 3 [e90],2,bmw 3,bmw 3-series,10,"$226,008,385",Universal Pictures,2017,0,23,23,10,2
How to Be a Latin Lover,2014 bmw 4 [f33],1,bmw 4,bmw 4-series,80,"$32,149,404",Pantelion Films,2017,0,1,1,80,1
Transformers: The Last Knight,bmw 5 [e60],3,bmw 5,bmw 5-series,24,"$130,168,683",Paramount Pictures,2017,1,14,15,24,3
All Eyez on Me,1995 bmw 7 [e38],3,bmw 7,bmw 7-series,62,"$44,922,302",Lionsgate,2017,1,5,6,62,3
The Foreigner,2010 bmw x1 [e84],1,bmw x1,bmw x1,74,"$34,393,507",STX Entertainment,2017,0,1,1,74,1
The Foreigner,2004 bmw x3 [e83],1,bmw x3,bmw x3,74,"$34,393,507",STX Entertainment,2017,0,1,1,74,1
The Hitman's Bodyguard,2005 bmw x5 [e53],3,bmw x5,bmw x5,41,"$75,468,583",Lionsgate,2017,1,5,6,41,3
Spider-Man: Homecoming,bmw x6 [e71],1,bmw x6,bmw x6,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,1,1,5,1
How to Be a Latin Lover,bmw z4 [e85],1,bmw z4,bmw z4,80,"$32,149,404",Pantelion Films,2017,0,1,1,80,1
Cars 3,1986 buick regal,3,buick regal,buick regal,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,1,2,3,21,3
"Everything, Everything",2015 cadillac ats,2,cadillac ats,cadillac ats,75,"$34,121,140",Warner Bros.,2017,0,2,2,75,2
The Fate of the Furious,cadillac cts,1,cadillac cts,cadillac cts,10,"$226,008,385",Universal Pictures,2017,0,2,2,10,1
Transformers: The Last Knight,2007 cadillac escalade esv,3,cadillac escalade,cadillac escalade,24,"$130,168,683",Paramount Pictures,2017,2,5,7,24,3
Logan,2010 cadillac srx,1,cadillac srx,cadillac srx,9,"$226,277,068",Twentieth Century Fox,2017,0,1,1,9,1
Logan,2013 cadillac xts funeral coach,1,cadillac xts,cadillac xts,9,"$226,277,068",Twentieth Century Fox,2017,0,1,1,9,1
Baby Driver,2007 chevrolet avalanche,3,chevrolet avalanche,chevrolet avalanche,31,"$107,825,862",TriStar Pictures,2017,1,0,1,31,3
Transformers: The Last Knight,1969 chevrolet blazer,3,chevrolet blazer,chevrolet blazer,24,"$130,168,683",Paramount Pictures,2017,2,3,5,24,3
Geostorm,2017 chevrolet bolt,1,chevrolet bolt,chevrolet bolt,77,"$33,578,782",Warner Bros.,2017,0,1,1,77,1
Transformers: The Last Knight,2016 chevrolet camaro,5,chevrolet camaro,chevrolet camaro,24,"$130,168,683",Paramount Pictures,2017,2,13,15,24,5
Transformers: The Last Knight,2011 chevrolet caprice ppv,2,chevrolet caprice ppv,chevrolet caprice ppv,24,"$130,168,683",Paramount Pictures,2017,0,2,2,24,2
Baby Driver,2005 chevrolet cobalt,2,chevrolet cobalt,chevrolet cobalt,31,"$107,825,862",TriStar Pictures,2017,0,2,2,31,2
The Fate of the Furious,1966 chevrolet corvette sting ray c2,3,chevrolet corvette,chevrolet corvette,10,"$226,008,385",Universal Pictures,2017,2,5,7,10,3
Baby Driver,2015 chevrolet cruze,2,chevrolet cruze,chevrolet cruze,31,"$107,825,862",TriStar Pictures,2017,0,8,8,31,2
Transformers: The Last Knight,2005 chevrolet equinox,1,chevrolet equinox,chevrolet equinox,24,"$130,168,683",Paramount Pictures,2017,0,4,4,24,1
Power Rangers,2003 chevrolet express,2,chevrolet express,chevrolet express,39,"$85,364,450",Lionsgate,2017,0,5,5,39,2
Transformers: The Last Knight,2006 chevrolet hhr,1,chevrolet hhr,chevrolet hhr,24,"$130,168,683",Paramount Pictures,2017,0,1,1,24,1
The Fate of the Furious,1961 chevrolet impala,3,chevrolet impala,chevrolet impala,10,"$226,008,385",Universal Pictures,2017,3,16,19,10,3
Spider-Man: Homecoming,2006 chevrolet malibu,2,chevrolet malibu,chevrolet malibu,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,9,9,5,2
Transformers: The Last Knight,2014 chevrolet silverado,3,chevrolet silverado,chevrolet silverado,24,"$130,168,683",Paramount Pictures,2017,2,15,17,24,3
The Fate of the Furious,2012 chevrolet sonic,1,chevrolet sonic,chevrolet sonic,10,"$226,008,385",Universal Pictures,2017,0,2,2,10,1
Logan,2013 chevrolet spark,1,chevrolet spark,chevrolet spark,9,"$226,277,068",Twentieth Century Fox,2017,0,1,1,9,1
Logan Lucky,2016 chevrolet ss nascar,2,chevrolet ss,chevrolet ss,91,"$27,780,977",Bleecker Street Media,2017,0,1,1,91,2
Logan,1985 chevrolet suburban,3,chevrolet suburban,chevrolet suburban,9,"$226,277,068",Twentieth Century Fox,2017,2,13,15,9,3
Going in Style,2009 chevrolet tahoe,3,chevrolet tahoe,chevrolet tahoe,61,"$45,018,541",Warner Bros.,2017,2,9,11,61,3
Fist Fight,2002 chevrolet trailblazer,2,chevrolet trailblazer,chevrolet trailblazer,79,"$32,187,017",Warner Bros.,2017,0,4,4,79,2
A Bad Moms Christmas,2013 chevrolet traverse,1,chevrolet traverse,chevrolet traverse,44,"$71,891,988",STX Entertainment,2017,0,2,2,44,1
Transformers: The Last Knight,2015 chevrolet trax,1,chevrolet trax,chevrolet trax,24,"$130,168,683",Paramount Pictures,2017,0,1,1,24,1
Girls Trip,2011 chrysler 200,1,chrysler 200,chrysler 200,29,"$115,171,585",Universal Pictures,2017,0,4,4,29,1
The Fate of the Furious,2011 chrysler 300,2,chrysler 300,chrysler 300,10,"$226,008,385",Universal Pictures,2017,0,7,7,10,2
A Bad Moms Christmas,2017 chrysler pacifica,3,chrysler pacifica,chrysler pacifica,44,"$71,891,988",STX Entertainment,2017,1,1,2,44,3
Baby Driver,2001 chrysler pt cruiser,2,chrysler pt cruiser,chrysler pt cruiser,31,"$107,825,862",TriStar Pictures,2017,0,6,6,31,2
Passengers,2002 chrysler sebring,2,chrysler sebring,chrysler sebring,64,"$44,634,490",Sony Pictures Entertainment (SPE),2017,0,2,2,64,2
Kidnap,2011 chrysler town & country,4,chrysler town & country,chrysler town & country,84,"$30,971,040",Aviron Pictures,2017,2,4,6,84,4
How to Be a Latin Lover,2008 dodge avenger,2,dodge avenger,dodge avenger,80,"$32,149,404",Pantelion Films,2017,0,4,4,80,2
Baywatch,2008 dodge caliber,1,dodge caliber,dodge caliber,48,"$58,060,186",Paramount Pictures,2017,0,1,1,48,1
The Fate of the Furious,2018 dodge challenger srt demon,3,dodge challenger,dodge challenger,10,"$226,008,385",Universal Pictures,2017,2,5,7,10,3
The Fate of the Furious,1968 dodge charger,3,dodge charger,dodge charger,10,"$226,008,385",Universal Pictures,2017,4,10,14,10,3
Power Rangers,1997 dodge dakota,3,dodge dakota,dodge dakota,39,"$85,364,450",Lionsgate,2017,1,0,1,39,3
Cars 3,1963 dodge dart,3,dodge dart,dodge dart,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,2,3,5,21,3
Monster Trucks,2014 dodge durango,2,dodge durango,dodge durango,78,"$33,370,166",Paramount Pictures,2017,0,3,3,78,2
Jumanji: Welcome to the Jungle,1993 dodge grand caravan,1,dodge grand caravan,dodge grand caravan,18,"$170,863,915",Sony Pictures Entertainment (SPE),2017,0,4,4,18,1
Baby Driver,2011 dodge journey,1,dodge journey,dodge journey,31,"$107,825,862",TriStar Pictures,2017,0,2,2,31,1
Monster Trucks,2006 dodge ram,4,dodge ram,dodge ram,78,"$33,370,166",Paramount Pictures,2017,4,10,14,78,4
Cars 3,1960 fiat 500,4,fiat 500,fiat 500,21,"$152,901,115",Walt Disney Studios Motion Pictures,2017,1,12,13,21,4
The Fate of the Furious,2014 fiat 500l,2,fiat 500l,fiat 500l,10,"$226,008,385",Universal Pictures,2017,0,1,1,10,2
Logan,2016 fiat 500x,2,fiat 500x,fiat 500x,9,"$226,277,068",Twentieth Century Fox,2017,0,2,2,9,2
Baby Driver,2009 ford crown victoria,3,ford crown victoria,ford crown victoria,31,"$107,825,862",TriStar Pictures,2017,5,49,54,31,3
Going in Style,2014 ford e-350,3,ford e-,ford e-series,61,"$45,018,541",Warner Bros.,2017,1,13,14,61,3
Guardians of the Galaxy Vol. 2,2018 ford ecosport,2,ford ecosport,ford ecosport,4,"$389,813,101",Walt Disney Studios Motion Pictures,2017,0,1,1,4,2
The Dark Tower,2011 ford edge,1,ford edge,ford edge,54,"$50,701,325",Sony Pictures Entertainment (SPE),2017,0,3,3,54,1
Baby Driver,2013 ford escape,2,ford escape,ford escape,31,"$107,825,862",TriStar Pictures,2017,0,7,7,31,2
Patriots Day,2007 ford expedition gen.3,3,ford expedition,ford expedition,83,"$31,319,806",Lionsgate,2017,1,7,8,83,3
The Hitman's Bodyguard,1995 ford explorer,3,ford explorer,ford explorer,41,"$75,468,583",Lionsgate,2017,4,17,21,41,3
Power Rangers,2004 ford f-150,3,ford f-,ford f-series,39,"$85,364,450",Lionsgate,2017,4,44,48,39,3
The Fate of the Furious,2014 ford fiesta mkvi,1,ford fiesta,ford fiesta,10,"$226,008,385",Universal Pictures,2017,0,3,3,10,1
Daddy's Home 2,2013 ford flex,4,ford flex,ford flex,33,"$101,791,381",Paramount Pictures,2017,2,2,4,33,4
The Hitman's Bodyguard,2004 ford focus c-max mki,3,ford focus,ford focus,41,"$75,468,583",Lionsgate,2017,2,13,15,41,3
Patriots Day,2010 ford fusion,4,ford fusion,ford fusion,83,"$31,319,806",Lionsgate,2017,2,7,9,83,4
Transformers: The Last Knight,2015 ford mustang,4,ford mustang,ford mustang,24,"$130,168,683",Paramount Pictures,2017,4,17,21,24,4
Kidnap,1993 ford ranger,2,ford ranger,ford ranger,84,"$30,971,040",Aviron Pictures,2017,0,5,5,84,2
Spider-Man: Homecoming,1989 ford taurus,2,ford taurus,ford taurus,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,14,14,5,2
The Hitman's Bodyguard,1995 ford transit mkiii,1,ford transit,ford transit,41,"$75,468,583",Lionsgate,2017,0,4,4,41,1
La La Land,1996 gmc savana,1,gmc savana,gmc savana,27,"$120,121,532",Lionsgate,2017,0,2,2,27,1
Power Rangers,2003 gmc sierra,1,gmc sierra,gmc sierra,39,"$85,364,450",Lionsgate,2017,0,3,3,39,1
Logan Lucky,2010 gmc terrain,1,gmc terrain,gmc terrain,91,"$27,780,977",Bleecker Street Media,2017,0,1,1,91,1
Baby Driver,2007 gmc yukon,3,gmc yukon,gmc yukon,31,"$107,825,862",TriStar Pictures,2017,1,3,4,31,3
Logan,2015 gmc yukon xl denali,1,gmc yukon xl,gmc yukon xl,9,"$226,277,068",Twentieth Century Fox,2017,0,1,1,9,1
La La Land,1994 honda accord,2,honda accord,honda accord,27,"$120,121,532",Lionsgate,2017,0,21,21,27,2
Patriots Day,1996 honda civic,3,honda civic,honda civic,83,"$31,319,806",Lionsgate,2017,1,17,18,83,3
Spider-Man: Homecoming,honda cr-v,1,honda cr-v,honda cr-v,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,8,8,5,1
The Shack,2009 honda element,1,honda element,honda element,49,"$57,386,418",Lionsgate,2017,0,1,1,49,1
Fist Fight,2007 honda fit,4,honda fit,honda fit,79,"$32,187,017",Warner Bros.,2017,1,1,2,79,4
The Fate of the Furious,2007 honda odyssey,2,honda odyssey,honda odyssey,10,"$226,008,385",Universal Pictures,2017,0,6,6,10,2
Baby Driver,1998 honda passport,1,honda passport,honda passport,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Baby Driver,2009 honda pilot,1,honda pilot,honda pilot,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
The Fate of the Furious,2007 honda s2000,1,honda s2000,honda s2000,10,"$226,008,385",Universal Pictures,2017,0,1,1,10,1
Geostorm,2006 hummer h3,2,hummer h3,hummer h3,77,"$33,578,782",Warner Bros.,2017,0,1,1,77,2
Transformers: The Last Knight,2003 hyundai accent,1,hyundai accent,hyundai accent,24,"$130,168,683",Paramount Pictures,2017,0,5,5,24,1
The Fate of the Furious,2010 hyundai elantra,1,hyundai elantra,hyundai elantra,10,"$226,008,385",Universal Pictures,2017,0,12,12,10,1
Spider-Man: Homecoming,2001 hyundai santa fe,1,hyundai santa fe,hyundai santa fe,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,0,2,2,5,1
Daddy's Home 2,2011 hyundai sonata,1,hyundai sonata,hyundai sonata,33,"$101,791,381",Paramount Pictures,2017,0,9,9,33,1
Patriots Day,2016 hyundai tucson,1,hyundai tucson,hyundai tucson,83,"$31,319,806",Lionsgate,2017,0,3,3,83,1
The Dark Tower,2012 hyundai veloster,1,hyundai veloster,hyundai veloster,54,"$50,701,325",Sony Pictures Entertainment (SPE),2017,0,1,1,54,1
Baby Driver,1994 infiniti g20,2,infiniti g,infiniti g,31,"$107,825,862",TriStar Pictures,2017,0,6,6,31,2
Transformers: The Last Knight,2016 infiniti qx60,1,infiniti qx60,infiniti qx60/jx,24,"$130,168,683",Paramount Pictures,2017,0,1,1,24,1
Kingsman: The Golden Circle,2016 jaguar f-pace s [x761],3,jaguar f-pace,jaguar f-pace,35,"$100,225,686",Twentieth Century Fox,2017,1,0,1,35,3
The Fate of the Furious,2016 jaguar f-type coupé [x152],3,jaguar f-type,jaguar f-type,10,"$226,008,385",Universal Pictures,2017,1,0,1,10,3
Kingsman: The Golden Circle,2016 jaguar xe [x760],1,jaguar xe,jaguar xe,35,"$100,225,686",Twentieth Century Fox,2017,0,1,1,35,1
The Hitman's Bodyguard,2016 jaguar xf [x260],2,jaguar xf,jaguar xf,41,"$75,468,583",Lionsgate,2017,0,1,1,41,2
Spider-Man: Homecoming,1979 jaguar xj6 [series iii],3,jaguar xj,jaguar xj,5,"$334,201,140",Sony Pictures Entertainment (SPE),2017,3,3,6,5,3
Logan,jeep cherokee,3,jeep cherokee,jeep cherokee,9,"$226,277,068",Twentieth Century Fox,2017,2,6,8,9,3
Jigsaw,2014 jeep grand cherokee,3,jeep grand cherokee,jeep grand cherokee,72,"$38,052,832",Lionsgate,2017,1,12,13,72,3
Transformers: The Last Knight,2002 jeep liberty,1,jeep liberty,jeep liberty,24,"$130,168,683",Paramount Pictures,2017,0,3,3,24,1
The Fate of the Furious,2007 jeep patriot,2,jeep patriot,jeep patriot,10,"$226,008,385",Universal Pictures,2017,0,4,4,10,2
Baby Driver,2015 jeep renegade,1,jeep renegade,jeep renegade,31,"$107,825,862",TriStar Pictures,2017,0,1,1,31,1
Baywatch,2013 jeep wrangler,3,jeep wrangler,jeep wrangler,48,"$58,060,186",Paramount Pictures,2017,2,7,9,48,3
Split,2011 kia optima,2,kia optima,kia optima,23,"$138,291,365",Universal Pictures,2017,0,4,4,23,2
Justice League,2001 kia rio,1,kia rio,kia rio,11,"$225,546,295",Warner Bros.,2017,0,4,4,11,1
Justice League,2015 kia sorento,1,kia sorento,kia sorento,11,"$225,546,295",Warner Bros.,2017,0,1,1,11,1
Snatched,2016 kia soul,3,kia soul,kia soul,58,"$45,852,178",Twentieth Century Fox,2017,1,3,4,58,3
