Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Trainwreck,2001 acura mdx,1,acura mdx,acura mdx,27,"$110,212,700",Universal Pictures,2015,0,2,2,27,1
Pixels,2007 acura rdx,1,acura rdx,acura rdx,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,2,2,36,1
The Gift,2004 acura tl,1,acura tl,acura tl,66,"$43,787,265",STX Entertainment,2015,0,1,1,66,1
Sicario,2004 acura tsx,1,acura tsx,acura tsx,62,"$46,770,373",Lionsgate,2015,0,1,1,62,1
Get Hard,2015 alfa romeo 4c,1,alfa romeo 4c,alfa romeo 4c,30,"$90,411,453",Warner Bros.,2015,0,1,1,30,1
The Man from U.N.C.L.E.,1969 alfa romeo giulia super,1,alfa romeo giulia,alfa romeo giulia,63,"$45,445,109",Warner Bros.,2015,0,1,1,63,1
Avengers: Age of Ultron,2014 audi a3 cabriolet,2,audi a3,audi a3,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,8,8,3,2
Pixels,2002 audi a4 b6,2,audi a4,audi a4,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,10,10,36,2
Kingsman: The Secret Service,2007 audi a5 b8,1,audi a5,audi a5,23,"$128,261,724",Twentieth Century Fox,2015,0,1,1,23,1
Avengers: Age of Ultron,2012 audi a6 hybrid c7,2,audi a6,audi a6,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,6,6,3,2
Spectre,2011 audi a7 sportback c7,1,audi a7,audi a7,11,"$197,102,585",Sony Pictures Entertainment (SPE),2015,0,3,3,11,1
Fantastic Four,2011 audi a8 d4,2,audi a8,audi a8,52,"$56,117,548",Twentieth Century Fox,2015,0,8,8,52,2
The Big Short,2013 audi q5,1,audi q5,audi q5,97,"$23,995,178",Paramount Pictures,2015,0,1,1,97,1
The Intern,2014 audi q7,4,audi q7,audi q7,38,"$75,574,886",Warner Bros.,2015,1,5,6,38,4
Taken 3,2014 audi r8 spyder,3,audi r8,audi r8,32,"$89,256,424",Twentieth Century Fox,2015,1,4,5,32,3
Avengers: Age of Ultron,2015 audi tts,2,audi tt,audi tt,3,"$459,005,868",Walt Disney Studios Motion Pictures,2015,0,1,1,3,2
Entourage,2014 bentley continental gtc speed,2,bentley continental gt,bentley continental gt,80,"$32,363,404",Warner Bros.,2015,0,2,2,80,2
Mission: Impossible - Rogue Nation,2014 bentley flying spur,1,bentley flying spur,bentley flying spur,12,"$195,042,377",Paramount Pictures,2015,0,1,1,12,1
Southpaw,2010 bentley mulsanne,2,bentley mulsanne,bentley mulsanne,56,"$52,421,953",The Weinstein Company,2015,0,2,2,56,2
Mission: Impossible - Rogue Nation,2012 bmw 1 [f20],1,bmw 1,bmw 1-series,12,"$195,042,377",Paramount Pictures,2015,0,2,2,12,1
War Room,2006 bmw 3 [e90],2,bmw 3,bmw 3-series,42,"$67,790,117",TriStar Pictures,2015,0,20,20,42,2
Spy,2015 bmw 435i gran coupé [f36],3,bmw 4,bmw 4-series,25,"$110,825,712",Twentieth Century Fox,2015,1,2,3,25,3
Fantastic Four,2011 bmw 550i [f10],3,bmw 5,bmw 5-series,52,"$56,117,548",Twentieth Century Fox,2015,1,9,10,52,3
Mission: Impossible - Rogue Nation,2013 bmw 6 gran coupé [f06],2,bmw 6,bmw 6-series,12,"$195,042,377",Paramount Pictures,2015,0,5,5,12,2
Mission: Impossible - Rogue Nation,2016 bmw 7 [g12],3,bmw 7,bmw 7-series,12,"$195,042,377",Paramount Pictures,2015,2,16,18,12,3
Straight Outta Compton,1991 bmw 850i [e31],2,bmw 8,bmw 8-series,19,"$161,197,785",Universal Pictures,2015,0,1,1,19,2
Alvin and the Chipmunks: The Road Chip,2015 bmw i8 [i12],2,bmw i8,bmw i8,53,"$55,575,427",Twentieth Century Fox,2015,0,1,1,53,2
Paper Towns,2013 bmw x1 [e84],1,bmw x1,bmw x1,81,"$32,000,304",Twentieth Century Fox,2015,0,1,1,81,1
Pixels,2011 bmw x3 [f25],3,bmw x3,bmw x3,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,1,0,1,36,3
Mission: Impossible - Rogue Nation,2007 bmw x5 [e70],2,bmw x5,bmw x5,12,"$195,042,377",Paramount Pictures,2015,0,6,6,12,2
Pixels,bmw x6 [e71],1,bmw x6,bmw x6,36,"$78,747,585",Sony Pictures Entertainment (SPE),2015,0,1,1,36,1
Chappie,2010 bmw z4 [e89],2,bmw z4,bmw z4,82,"$31,569,268",Sony Pictures Entertainment (SPE),2015,0,1,1,82,2
Ted 2,2014 buick lacrosse,1,buick lacrosse,buick lacrosse,34,"$81,476,385",Universal Pictures,2015,0,2,2,34,1
Run All Night,2006 buick lucerne,1,buick lucerne,buick lucerne,92,"$26,461,644",Warner Bros.,2015,0,1,1,92,1
Tomorrowland,1993 buick regal,1,buick regal,buick regal,29,"$93,436,322",Walt Disney Studios Motion Pictures,2015,0,3,3,29,1
Furious 7,2012 buick verano,1,buick verano,buick verano,5,"$353,007,020",Universal Pictures,2015,0,2,2,5,1
